procedure_name_en,project_name_en,building_name_ar,actual_worth,property_usage_en,reg_type_id,procedure_id,property_sub_type_id,procedure_area,procedure_name_ar,instance_date,project_name_ar,building_name_en,property_usage_ar,area_id,property_type_id,nearest_metro_en,has_parking,meter_sale_price,trans_group_ar,nearest_mall_en,no_of_parties_role_3,nearest_metro_ar,no_of_parties_role_2,no_of_parties_role_1,trans_group_en,nearest_mall_ar,transaction_id,rooms_ar,meter_rent_price,property_type_en,master_project_en,nearest_landmark_en,rooms_en,area_name_en,property_type_ar,trans_group_id,load_timestamp,nearest_landmark_ar,area_name_ar,reg_type_en,property_sub_type_en,project_number,rent_value,reg_type_ar,property_sub_type_ar,master_project_ar
"Sell - Pre registration","Il PRIMO","إل بريمو","16913600","Residential","0","102","60","484.2","بيع - تسجيل مبدئى","2020-03-30","Il  بريمو","IL Primo","سكني","390","3","Buj Khalifa Dubai Mall Metro Station","1","34931.02","مبايعات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Sales","مول دبي","1-102-2020-3367","أربع غرف","null","Unit","DownTown Dubai","Burj Khalifa","4 B/R","Burj Khalifa","وحدة","1","2026-02-26 10:09:51","برج خليفة","برج خليفة","Off-Plan Properties","Flat","1757","null","على الخارطة","شقه سكنيه","داون تاون دبي"
"Delayed Sell","MOHAMMED BIN RASHID AL MAKTOUM CITY- DISTRICT ONE, PHASE 1","null","9969975","Commercial","1","41","null","731.18","بيع مبدئى","2015-09-16","محمد بن راشد ال مكتوم سيتي- ديسترك ون، فيس ون","null","تجاري","412","4","Business Bay Metro Station","0","13635.46","مبايعات","Dubai Mall","0","محطة مترو الخليج التجاري","1","1","Sales","مول دبي","1-41-2015-3391","null","null","Villa","null","Downtown Dubai","null","Al Merkadh","فيلا","1","2026-02-26 10:09:51","وسط مدينة دبي","المركاض","Existing Properties","null","1366","null","العقارات القائمة","null","null"
"Lease to Own Registration","SKY COURTS","سكاي كورتس B","272874","Residential","1","110","60","39.75","تسجيل إيجارة تنتهى بالتملك","2013-08-28","سكاي كورتس","Skycourts Tower B","سكني","467","3","null","1","6864.76","رهون","null","2","null","2","2","Mortgages","null","2-110-2013-1769","استوديو","6864.76","Unit","Dubai Land Residence Complex","IMG World Adventures","Studio","Wadi Al Safa 5","وحدة","2","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","وادي الصفا 5","Existing Properties","Flat","794","272874.06","العقارات القائمة","شقه سكنيه","مجمع دبي لاند السكني"
"Mortgage Registration","null","ديفاين ريزيدنسز","496080","Residential","1","13","60","63.54","تسجيل رهن","2023-10-10","null","DIVINE RESIDENCES","سكني","409","3","First Abu Dhabi Bank Metro Station","1","7807.37","رهون","Mall of the Emirates","0","محطة مترو بنك أبوظبي الأول","1","1","Mortgages","مول الإمارات","2-13-2023-18219","استوديو","null","Unit","Arjan","Motor City","Studio","Al Barshaa South Third","وحدة","2","2026-02-26 10:09:51","موتور سيتي","البرشاء جنوب الثالثة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","أرجان"
"Sell","null","null","2150000","Commercial","1","11","null","377.63","بيع","2021-03-16","null","null","تجاري","484","4","null","0","5693.4","مبايعات","City Centre Mirdif","0","null","1","1","Sales","سيتي سنتر مردف","1-11-2021-4110","null","null","Villa","Silicon Oasis","IMG World Adventures","null","Nadd Hessa","فيلا","1","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","ند حصة","Existing Properties","null","null","null","العقارات القائمة","null","واحة السيليكون"
"Sell","null","جولف تاورز - T3","1150000","Residential","1","11","60","74.42","بيع","2014-12-01","null","GOLF TOWERS T3","سكني","351","3","Nakheel Metro Station","1","15452.84","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-11-2014-26078","غرفة","null","Unit","The Greens","Burj Al Arab","1 B/R","Al Thanyah Third","وحدة","1","2026-02-26 10:09:51","برج العرب","الثنيه الثالثة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الروضة"
"Delayed Sell","Samana Green","سامانا جرينز","700000","Residential","1","41","60","67.57","بيع مبدئى","2022-06-16","سامانا كرين","SAMANA GREENS","سكني","409","3","Sharaf Dg Metro Station","1","10359.63","مبايعات","Mall of the Emirates","0","محطة مترو شرف دي جي","1","1","Sales","مول الإمارات","1-41-2022-10318","غرفة","null","Unit","Arjan","Motor City","1 B/R","Al Barshaa South Third","وحدة","1","2026-02-26 10:09:51","موتور سيتي","البرشاء جنوب الثالثة","Existing Properties","Flat","2032","null","العقارات القائمة","شقه سكنيه","أرجان"
"Mortgage Registration","The Lakes - Deema 1","null","2500000","Residential","1","13","null","434.99","تسجيل رهن","2008-10-27","البحيرات ? ديما 1","null","سكني","351","4","Nakheel Metro Station","0","5747.26","رهون","Marina Mall","0","محطة مترو النخيل","1","2","Mortgages","مارينا مول","2-13-2008-2621","null","null","Villa","Lakes - Deema 1","Sports City Swimming Academy","null","Al Thanyah Third","فيلا","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الثنيه الثالثة","Existing Properties","null","1054","null","العقارات القائمة","null","البحيرات - ديما 1"
"Delayed Sell","The Oasis - Palace Villas - Ostra","null","20558888","Multi-Use","1","41","null","1693.32","بيع مبدئى","2025-05-07","ذا اويسيس - بالاس فيلا - اوسترا","null","متعدد الاستخدامات","486","1","null","0","12141.17","مبايعات","null","0","null","2","1","Sales","null","1-41-2025-13943","null","null","Land","null","null","null","Me'Aisem Second","أرض","1","2026-02-26 10:09:51","null","معيصم الثانية","Existing Properties","null","3581","null","العقارات القائمة","null","null"
"Sell - Pre registration","THE ADDRESS DUBAI OPERA","العنوان رزيدنسز دبي اوبرا  T2","2176888","Residential","0","102","60","74.41","بيع - تسجيل مبدئى","2016-07-25","العنوان أوبرا دبي","The Address Residences Dubai Opera T2","سكني","390","3","Buj Khalifa Dubai Mall Metro Station","1","29255.32","مبايعات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Sales","مول دبي","1-102-2016-9322","غرفة","null","Unit","DownTown Dubai","Burj Khalifa","1 B/R","Burj Khalifa","وحدة","1","2026-02-26 10:09:51","برج خليفة","برج خليفة","Off-Plan Properties","Flat","1695","null","على الخارطة","شقه سكنيه","داون تاون دبي"
"Sell","The Grand ","ذي جراند","2550000","Residential","1","11","60","118.25","بيع","2025-05-19","ذي جراند ","The Grand","سكني","447","3","Creek Metro Station","1","21564.48","مبايعات","Dubai Mall","0","محطة مترو الخور","1","1","Sales","مول دبي","1-11-2025-20888","غرفتين","null","Unit","Dubai Creek Harbour","Dubai International Airport","2 B/R","Al Khairan First","وحدة","1","2026-02-26 10:09:51","مطار دبي الدولي","الخيران الأولى","Existing Properties","Flat","1983","null","العقارات القائمة","شقه سكنيه","خور دبي"
"Sell","null","null","2600000","Commercial","1","11","null","469.29","بيع","2023-08-16","null","null","تجاري","337","1","Creek Metro Station","0","5540.28","مبايعات","City Centre Mirdif","0","محطة مترو الخور","1","1","Sales","سيتي سنتر مردف","1-11-2023-25819","null","null","Land","Nad Al Shiba Villas","null","null","Nad Al Shiba Third","أرض","1","2026-02-26 10:09:51","null","ند الشبا الثالثه","Existing Properties","null","null","null","العقارات القائمة","null","فلل ند الشبا"
"Sell","LINCOLN PARK","لينكولن بارك - وست سايد","440000","Residential","1","11","60","45.41","بيع","2024-12-19","لينكولن بارك","Lincoln Park -West Side","سكني","409","3","Sharaf Dg Metro Station","1","9689.5","مبايعات","Mall of the Emirates","0","محطة مترو شرف دي جي","1","1","Sales","مول الإمارات","1-11-2024-49132","استوديو","null","Unit","Arjan","Motor City","Studio","Al Barshaa South Third","وحدة","1","2026-02-26 10:09:51","موتور سيتي","البرشاء جنوب الثالثة","Existing Properties","Flat","412","null","العقارات القائمة","شقه سكنيه","أرجان"
"Sell","null","null","819888","Residential","1","11","4","226.95","بيع","2011-07-27","null","null","سكني","434","4","null","0","3612.64","مبايعات","null","0","null","2","1","Sales","null","1-11-2011-12664","ثلاث غرف","null","Villa","Arabian Ranches - 1","Global Village","3 B/R","Wadi Al Safa 6","فيلا","1","2026-02-26 10:09:51","قرية عالمية","وادي الصفا 6","Existing Properties","Villa","null","null","العقارات القائمة","فيلا","المرابع العربية - 1"
"Sell - Pre registration","THE ADDRESS RESIDENCE - SKY VIEW","العنوان رزيدنسز سكاي فيو","3830888","Hospitality ","0","102","101","141.12","بيع - تسجيل مبدئى","2013-12-03","ذا أدريس ريزيدنسي - سكاي فيو","Address Residences Sky View","ضيافة","390","3","Buj Khalifa Dubai Mall Metro Station","1","27146.32","مبايعات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Sales","مول دبي","1-102-2013-11486","غرفتين","null","Unit","DownTown Dubai","Burj Khalifa","2 B/R","Burj Khalifa","وحدة","1","2026-02-26 10:09:51","برج خليفة","برج خليفة","Off-Plan Properties","Hotel Apartment","1338","null","على الخارطة","شقة فندقية","داون تاون دبي"
"Lease to Own Registration","null","ميد 62","681370","Residential","1","110","60","91","تسجيل إيجارة تنتهى بالتملك","2009-06-04","null","MED 62","سكني","284","3","Harbour Tower","0","7487.58","رهون","Ibn-e-Battuta Mall","2","برج هاربور","2","2","Mortgages","ابن بطوطة مول","2-110-2009-201109","غرفة","7487.58","Unit","Discovery Gardens","Sports City Swimming Academy","1 B/R","Jabal Ali","وحدة","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","جبل على","Existing Properties","Flat","null","681370","العقارات القائمة","شقه سكنيه","الحدائق المكتشفة"
"Lease to Own Registration","SKY COURTS","سكاي كورتس A","559472","Residential","1","110","60","79.17","تسجيل إيجارة تنتهى بالتملك","2012-10-08","سكاي كورتس","Skycourts Tower A","سكني","467","3","null","1","7066.72","مبايعات","null","2","null","2","2","Sales","null","1-110-2012-1445","غرفة","null","Unit","Dubai Land Residence Complex","IMG World Adventures","1 B/R","Wadi Al Safa 5","وحدة","1","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","وادي الصفا 5","Existing Properties","Flat","794","null","العقارات القائمة","شقه سكنيه","مجمع دبي لاند السكني"
"Sell - Pre registration","PARKWAY BY PRESTIGE ONE ","باركواي باي برستيج وان","1392765","Residential","0","102","60","67.78","بيع - تسجيل مبدئى","2025-07-16","باركواي باي برستيج ون","PARKWAY by Prestige One","سكني","405","3","Creek Metro Station","1","20548.32","مبايعات","Dubai Mall","0","محطة مترو الخور","2","1","Sales","مول دبي","1-102-2025-62877","غرفة","null","Unit","null","Downtown Dubai","1 B/R","Bukadra","وحدة","1","2026-02-26 10:09:51","وسط مدينة دبي","بوكدرة","Off-Plan Properties","Flat","3272","null","على الخارطة","شقه سكنيه","null"
"Sell","null","null","2300000","Residential","1","11","null","240","بيع","2013-08-22","null","null","سكني","442","4","Damac Properties","0","9583.33","مبايعات","Marina Mall","0","عقارات داماك","2","1","Sales","مارينا مول","1-11-2013-25000","null","null","Villa","Jumeirah Village Triangle","Sports City Swimming Academy","null","Al Barsha South Fifth","فيلا","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الخامسة","Existing Properties","null","null","null","العقارات القائمة","null","قرية جميرا المثلثة"
"Sell - Pre registration","310 Riverside Crescent","310 ريفير سايد كريسنت","2270955","Residential","0","102","60","84.73","بيع - تسجيل مبدئى","2025-01-13"," ريفرسايد كريسنت 310","310 Riverside Crescent","سكني","405","3","null","1","26802.25","مبايعات","null","0","null","1","1","Sales","null","1-102-2025-2007","غرفتين","null","Unit","null","null","2 B/R","Bukadra","وحدة","1","2026-02-26 10:09:51","null","بوكدرة","Off-Plan Properties","Flat","3067","null","على الخارطة","شقه سكنيه","null"
"Sell - Pre registration","DAYTONA HOUSE","ديتونا هاوس","2474420","Commercial","0","102","42","181.01","بيع - تسجيل مبدئى","2009-12-28","دايتونا هاوس","Daytona House","تجاري","444","3","Dubai Internet City","1","13670.07","مبايعات","Mall of the Emirates","0","مدينة دبي للإنترنت","1","1","Sales","مول الإمارات","1-102-2009-1014","مكتب","null","Unit","Motor City","Motor City","Office","Al Hebiah First","وحدة","1","2026-02-26 10:09:51","موتور سيتي","الحبيه الاولى","Off-Plan Properties","Office","494","null","على الخارطة","مكتب","موتور ستي"
"Delayed Mortgage","1 Residences ","ريزيدنسز1 - 1","2399999","Residential","1","190","60","139.55","رهن بيع مبدئى","2025-01-13","1 ريزيدنسيز","1 Residences - 1","سكني","366","3","Al Jafiliya Metro Station","1","17198.13","رهون","Dubai Mall","0","محطة مترو الجافلية","1","1","Mortgages","مول دبي","2-190-2025-93","غرفتين","null","Unit","Wasl 1","Burj Khalifa","2 B/R","Al Kifaf","وحدة","2","2026-02-26 10:09:51","برج خليفة","الكفاف","Existing Properties","Flat","2368","null","العقارات القائمة","شقه سكنيه","وصل 1"
"Mortgage Registration","null","الابراج الثلاثة A-1","875000","Residential","1","13","60","138.27","تسجيل رهن","2011-03-14","null","Three Towers A-1","سكني","414","3","First Abu Dhabi Bank Metro Station","1","6328.2","رهون","Mall of the Emirates","0","محطة مترو بنك أبوظبي الأول","1","1","Mortgages","مول الإمارات","2-13-2011-1738","غرفتين","null","Unit","Dubai Science Park","Motor City","2 B/R","Al Barshaa South Second","وحدة","2","2026-02-26 10:09:51","موتور سيتي","البرشاء جنوب الثانية","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","حديقة دبي للعلوم"
"Sell","DAMAC HEIGHTS","داماك هايتس","2400000","Residential","1","11","60","128.33","بيع","2025-09-22"," داماك هايتس","DAMAC HEIGHTS","سكني","330","3","Marina Towers","1","18701.78","مبايعات","Marina Mall","0","ابراج مارينا","1","1","Sales","مارينا مول","1-11-2025-39218","غرفتين","null","Unit","Dubai Marina","Burj Al Arab","2 B/R","Marsa Dubai","وحدة","1","2026-02-26 10:09:51","برج العرب","مرسى دبي","Existing Properties","Flat","430","null","العقارات القائمة","شقه سكنيه","دبي مارينا"
"Delayed Lease to Own Registration","REMRAAM","الرمث 33","981000","Residential","1","361","60","93.42","تسجيل إيجارة تنتهى بالتملك المؤجل","2014-10-29","رمرام","AL RAMTH 33","سكني","451","3","null","1","10500.96","مبايعات","null","2","null","2","2","Sales","null","1-361-2014-35","غرفتين","null","Unit","Remraam","Motor City","2 B/R","Al Hebiah Fifth","وحدة","1","2026-02-26 10:09:51","موتور سيتي","الحبيه الخامسة","Existing Properties","Flat","975","null","العقارات القائمة","شقه سكنيه","رمرام"
"Sell","null","null","8000000","Residential","1","11","null","1393.55","بيع","2022-07-06","null","null","سكني","232","4","Rashidiya Metro Station","0","5740.73","مبايعات","City Centre Mirdif","0","محطة مترو الراشدية","1","1","Sales","سيتي سنتر مردف","1-11-2022-16045","null","null","Villa","null","Dubai International Airport","null","Mirdif","فيلا","1","2026-02-26 10:09:51","مطار دبي الدولي","مردف","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Sell - Pre registration","Binghatti Aquarise","بن غاطي اكوارايز - تاور بي","1184999","Residential","0","102","60","39.8","بيع - تسجيل مبدئى","2025-06-17","بن غاطي أكوا رايز","Binghatti Aquarise - TOWER B","سكني","526","3","Business Bay Metro Station","1","29773.84","مبايعات","Dubai Mall","0","محطة مترو الخليج التجاري","1","1","Sales","مول دبي","1-102-2025-51459","استوديو","null","Unit","Business Bay","Downtown Dubai","Studio","Business Bay","وحدة","1","2026-02-26 10:09:51","وسط مدينة دبي","الخليج التجارى","Off-Plan Properties","Flat","3585","null","على الخارطة","شقه سكنيه","الخليج التجاري"
"Sell - Pre registration","SIERRA BY IMAN","سيرا باي ايمان","1819830","Residential","0","102","60","98.87","بيع - تسجيل مبدئى","2026-02-12","                                                                                                                            سيرا باي ايمان","SIERRA BY IMAN","سكني","444","3","Dubai Internet City","1","18406.29","مبايعات","Mall of the Emirates","0","مدينة دبي للإنترنت","1","1","Sales","مول الإمارات","1-102-2026-16040","غرفتين","null","Unit","Motor City","Sports City Swimming Academy","2 B/R","Al Hebiah First","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الحبيه الاولى","Off-Plan Properties","Flat","3835","null","على الخارطة","شقه سكنيه","موتور ستي"
"Sell - Pre registration","MONTE CARLO RESIDENCES","MONTE CARLO RESIDENCE","872320","Residential","0","102","60","86","بيع - تسجيل مبدئى","2015-09-29","مونتا كارلو ريزيدنس","MONTE CARLO RESIDENCE","سكني","441","3","Dubai Internet City","1","10143.26","مبايعات","Mall of the Emirates","0","مدينة دبي للإنترنت","1","1","Sales","مول الإمارات","1-102-2015-8922","غرفة","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","1 B/R","Al Barsha South Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Off-Plan Properties","Flat","1528","null","على الخارطة","شقه سكنيه","قرية جميرا الدائرية"
"Sell","UNIESTATE SPORTS TOWER","يونى إستيت سبورتس تاور","465000","Residential","1","11","60","39.91","بيع","2017-11-06","برج رياضي فريد","UNIESTATE SPORTS TOWER","سكني","435","3","Nakheel Metro Station","1","11651.22","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-11-2017-13440","استوديو","null","Unit","Dubai Sports City","Sports City Swimming Academy","Studio","Al Hebiah Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الحبيه الرابعة","Existing Properties","Flat","806","null","العقارات القائمة","شقه سكنيه","مدينة دبي الرياضية"
"Mortgage Registration","Binghatti Amber","بن غاطي عمبر","864000","Residential","1","13","60","88.29","تسجيل رهن","2025-04-03","بن غاطي عنبر","Binghatti Amber","سكني","441","3","Dubai Internet City","1","9785.93","رهون","Mall of the Emirates","0","مدينة دبي للإنترنت","1","1","Mortgages","مول الإمارات","2-13-2025-8604","غرفة","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","1 B/R","Al Barsha South Fourth","وحدة","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Existing Properties","Flat","2673","null","العقارات القائمة","شقه سكنيه","قرية جميرا الدائرية"
"Sell","Emirates Living - Springs 11","null","4350000","Residential","1","11","4","252.69","بيع","2024-12-06","روعة الإمارات ? الينابيع 11","null","سكني","352","4","Damac Properties","0","17214.77","مبايعات","Marina Mall","0","عقارات داماك","1","1","Sales","مارينا مول","1-11-2024-47220","ثلاث غرف","null","Villa","Springs - 1","Sports City Swimming Academy","3 B/R","Al Thanayah Fourth","فيلا","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الثنيه الرابعة","Existing Properties","Villa","1050","null","العقارات القائمة","فيلا","الينابيع - 1"
"Sell - Pre registration","ONE SKY PARK BY IMAN","وان سكاي بارك من ايمان","865033","Residential","0","102","60","45.58","بيع - تسجيل مبدئى","2025-04-10","وان سكاي بارك من ايمان","ONE SKY PARK BY IMAN","سكني","441","3","Nakheel Metro Station","1","18978.35","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-102-2025-29517","استوديو","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","Studio","Al Barsha South Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Off-Plan Properties","Flat","3179","null","على الخارطة","شقه سكنيه","قرية جميرا الدائرية"
"Mortgage Registration","Azizi  Riviera 34  ","عزيزي ريفييرا 34 	","474880","Residential","1","13","60","34.47","تسجيل رهن","2025-09-08","عزيزي ريفييرا 34","Azizi Riviera 34","سكني","412","3","Buj Khalifa Dubai Mall Metro Station","1","13776.62","رهون","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Mortgages","مول دبي","2-13-2025-25656","استوديو","null","Unit","Meydan One Community","Downtown Dubai","Studio","Al Merkadh","وحدة","2","2026-02-26 10:09:51","وسط مدينة دبي","المركاض","Existing Properties","Flat","2043","null","العقارات القائمة","شقه سكنيه","مجمع ميدان ون"
"Mortgage Registration","URBANA","URBANA STACKED HOUSE BLOCK-17","502876","Residential","1","13","60","155.86","تسجيل رهن","2021-02-05","إربانا ","URBANA STACKED HOUSE BLOCK-17","سكني","462","3","null","1","3226.46","رهون","null","0","null","1","1","Mortgages","null","2-13-2021-1462","غرفتين","null","Unit","Dubai World Central","Al Makhtoum International Airport","2 B/R","Madinat Al Mataar","وحدة","2","2026-02-26 10:09:51","مطار آل مكتوم الدولي","مدينة المطار","Existing Properties","Flat","1808","null","العقارات القائمة","شقه سكنيه","دبي ورلد سنترال"
"Sell","null","null","3605275","Agricultural","1","11","null","1970.23","بيع","2013-03-11","null","null","زراعي","396","1","Etisalat Metro Station","0","1829.88","مبايعات","City Centre Mirdif","0","محطة مترو اتصالات","1","1","Sales","سيتي سنتر مردف","1-11-2013-7613","null","null","Land","null","null","null","Al Khawaneej First","أرض","1","2026-02-26 10:09:51","null","الخوانيج الأولى","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Delayed Sell","Arabian Ranches III - Spring","null","2425000","Residential","1","41","4","135.13","بيع مبدئى","2024-08-14","المرابع العربية ااا - ربيع","null","سكني","467","4","null","0","17945.68","مبايعات","null","0","null","1","1","Sales","null","1-41-2024-16642","ثلاث غرف","null","Villa","Arabian Ranches 3","Hamdan Sports Complex","3 B/R","Wadi Al Safa 5","فيلا","1","2026-02-26 10:09:51","مجمع حمدان الرياضي","وادي الصفا 5","Existing Properties","Villa","2159","null","العقارات القائمة","فيلا","المرابع العربية 3"
"Mortgage Registration","null","فيزول ريزيدنس","1618396","Residential","1","13","60","169.23","تسجيل رهن","2023-04-19","null","Vezul Residence","سكني","526","3","Business Bay Metro Station","1","9563.3","رهون","Dubai Mall","0","محطة مترو الخليج التجاري","1","1","Mortgages","مول دبي","2-13-2023-5842","ثلاث غرف","null","Unit","Business Bay","Downtown Dubai","3 B/R","Business Bay","وحدة","2","2026-02-26 10:09:51","وسط مدينة دبي","الخليج التجارى","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الخليج التجاري"
"Sell - Pre registration","CAPRIA WEST","كابريا 5","2556000","Residential","0","102","60","115.9","بيع - تسجيل مبدئى","2025-09-03","كابريا ويست","CAPRIA 5","سكني","466","3","null","1","22053.49","مبايعات","null","0","null","1","1","Sales","null","1-102-2025-81623","غرفتين","null","Unit","null","null","2 B/R","Wadi Al Safa 4","وحدة","1","2026-02-26 10:09:51","null","وادي الصفا 4","Off-Plan Properties","Flat","3525","null","على الخارطة","شقه سكنيه","null"
"Mortgage Registration","null","سمر 1","1240000","Residential","1","13","60","119.05","تسجيل رهن","2023-05-25","null","SAMAR 1","سكني","351","3","Dubai Internet City","1","10415.79","رهون","Marina Mall","0","مدينة دبي للإنترنت","1","2","Mortgages","مارينا مول","2-13-2023-8186","غرفتين","null","Unit","The Greens","Burj Al Arab","2 B/R","Al Thanyah Third","وحدة","2","2026-02-26 10:09:51","برج العرب","الثنيه الثالثة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الروضة"
"Sell","null","ويست هايتس 1","1740000","Residential","1","11","60","146.6","بيع","2023-04-24","null","WEST HEIGHTS 1","سكني","390","3","Business Bay Metro Station","1","11869.03","مبايعات","Dubai Mall","0","محطة مترو الخليج التجاري","1","1","Sales","مول دبي","1-11-2023-11805","غرفتين","null","Unit","Business Bay","Burj Khalifa","2 B/R","Burj Khalifa","وحدة","1","2026-02-26 10:09:51","برج خليفة","برج خليفة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الخليج التجاري"
"Mortgage Registration","null","ويدكومب هاوس 3","1020000","Residential","1","13","60","187.76","تسجيل رهن","2012-08-01","null","WIDCOMBE HOUSE 3","سكني","444","3","Sharaf Dg Metro Station","1","5432.47","رهون","Mall of the Emirates","0","محطة مترو شرف دي جي","1","2","Mortgages","مول الإمارات","2-13-2012-3118","ثلاث غرف","null","Unit","Motor City","Motor City","3 B/R","Al Hebiah First","وحدة","2","2026-02-26 10:09:51","موتور سيتي","الحبيه الاولى","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","موتور ستي"
"Sell - Pre registration","DAMAC ISLANDS 2 - TAHITI 2","null","2824000","Residential","0","102","4","144","بيع - تسجيل مبدئى","2026-01-13","داماك ايلاندز 2 - تاهيتي 2","null","سكني","506","4","null","0","19611.11","مبايعات","null","0","null","1","1","Sales","null","1-102-2026-3691","أربع غرف","null","Villa","null","null","4 B/R","Al Yelayiss 1","فيلا","1","2026-02-26 10:09:51","null","اليلايس 1","Off-Plan Properties","Villa","4263","null","على الخارطة","فيلا","null"
"Sell","SAMAYA","سمايا","460000","Hospitality ","1","11","101","44.26","بيع","2024-08-08","سمايا ","SAMAYA","ضيافة","465","3","null","1","10393.13","مبايعات","null","0","null","1","1","Sales","null","1-11-2024-29367","استوديو","null","Unit","Majan","IMG World Adventures","Studio","Wadi Al Safa 3","وحدة","1","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","وادي الصفا 3","Existing Properties","Hotel Apartment","2010","null","العقارات القائمة","شقة فندقية","ماجان"
"Sell","null","ريحان 1","796000","Residential","1","11","60","71.81","بيع","2012-01-09","null","REEHAN 1","سكني","390","3","Buj Khalifa Dubai Mall Metro Station","1","11084.81","مبايعات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Sales","مول دبي","1-11-2012-270","غرفة","null","Unit","DownTown Dubai","Downtown Dubai","1 B/R","Burj Khalifa","وحدة","1","2026-02-26 10:09:51","وسط مدينة دبي","برج خليفة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","داون تاون دبي"
"Sell","REEM-MIRA COMMUNITY PH 4","null","2300000","Residential","1","11","4","278.4","بيع","2017-05-02","مجمع ريم ميرا بي أتش 4","null","سكني","506","4","null","0","8261.49","مبايعات","null","0","null","1","1","Sales","null","1-11-2017-6114","ثلاث غرف","null","Villa","null","Dubai Cycling Course","3 B/R","Al Yelayiss 1","فيلا","1","2026-02-26 10:09:51","دورة دبي للدراجات","اليلايس 1","Existing Properties","Villa","1825","null","العقارات القائمة","فيلا","null"
"Sell - Pre registration","PARKWAY BY PRESTIGE ONE ","باركواي باي برستيج وان","1432627","Residential","0","102","60","68.89","بيع - تسجيل مبدئى","2025-11-21","باركواي باي برستيج ون","PARKWAY by Prestige One","سكني","405","3","Creek Metro Station","1","20795.87","مبايعات","Dubai Mall","0","محطة مترو الخور","2","1","Sales","مول دبي","1-102-2025-119381","غرفة","null","Unit","null","Downtown Dubai","1 B/R","Bukadra","وحدة","1","2026-02-26 10:09:51","وسط مدينة دبي","بوكدرة","Off-Plan Properties","Flat","3272","null","على الخارطة","شقه سكنيه","null"
"Sell - Pre registration","INTERNATIONAL CITY EMARATI","إماراتي - 15","364000","Residential","0","102","60","46","بيع - تسجيل مبدئى","2010-03-08","المدينة العالمية الإماراتية","EMR-15","سكني","343","3","Rashidiya Metro Station","0","7913.04","مبايعات","City Centre Mirdif","0","محطة مترو الراشدية","1","1","Sales","سيتي سنتر مردف","1-102-2008-38381","استوديو","null","Unit","International City Phase 1","null","Studio","Al Warsan First","وحدة","1","2026-02-26 10:09:51","null","ورسان الاولى","Off-Plan Properties","Flat","1288","null","على الخارطة","شقه سكنيه","المدينة العالمية - المرحلة الاولى"
