Quarter,الشهر,الربع السنوي,Description,Item_id2,HeaderField_Id,Title,العنوان,Quarter_Number,Month,Type,الوصف,Year,Value,Month_Number,Item_id,النوع
"Second Quarter","يونيو","الربع الثاني","---","370478","8903","Number","العدد","2","June","Investment Villa","بناء جديد","2011","82","6","6716","فلل إستثمارية"
"Second Quarter","يونيو","الربع الثاني","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Investment Villa","إضافات وتعديلات","2011","665.2","6","6717","فلل إستثمارية"
"Second Quarter","يونيو","الربع الثاني","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Investment Villa","بناء جديد","2011","699074.3","6","6717","فلل إستثمارية"
"Second Quarter","يونيو","الربع الثاني","---","370479","8902","Number","العدد","2","June","Industrial Buildings","إضافات وتعديلات","2011","53","6","6718","مباني صناعية"
"Second Quarter","يونيو","الربع الثاني","---","370479","8903","Number","العدد","2","June","Industrial Buildings","بناء جديد","2011","5","6","6718","مباني صناعية"
"Second Quarter","يونيو","الربع الثاني","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Industrial Buildings","إضافات وتعديلات","2011","113491.6","6","6719","مباني صناعية"
"Second Quarter","يونيو","الربع الثاني","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Industrial Buildings","بناء جديد","2011","250319.5","6","6719","مباني صناعية"
"Second Quarter","يونيو","الربع الثاني","---","370480","8902","Number","العدد","2","June","Public Buildings","إضافات وتعديلات","2011","55","6","6720","مباني عامة"
"Second Quarter","يونيو","الربع الثاني","---","370480","8903","Number","العدد","2","June","Public Buildings","بناء جديد","2011","14","6","6720","مباني عامة"
"Second Quarter","يونيو","الربع الثاني","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Public Buildings","إضافات وتعديلات","2011","38704.7","6","6721","مباني عامة"
"Second Quarter","يونيو","الربع الثاني","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Public Buildings","بناء جديد","2011","1583993.4","6","6721","مباني عامة"
"Second Quarter","يونيو","الربع الثاني","---","370481","8902","Number","العدد","2","June","Multi-Storey Buildings","إضافات وتعديلات","2011","87","6","6722","مباني متعددة الطوابق"
"Second Quarter","يونيو","الربع الثاني","---","370481","8903","Number","العدد","2","June","Multi-Storey Buildings","بناء جديد","2011","10","6","6722","مباني متعددة الطوابق"
"Second Quarter","يونيو","الربع الثاني","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Multi-Storey Buildings","إضافات وتعديلات","2011","626773","6","6723","مباني متعددة الطوابق"
"Second Quarter","يونيو","الربع الثاني","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Multi-Storey Buildings","بناء جديد","2011","317209","6","6723","مباني متعددة الطوابق"
"Second Quarter","يونيو","الربع الثاني","---","370482","8902","Number","العدد","2","June","Floor Area Ratio Buildings","إضافات وتعديلات","2011","30","6","6724","مباني نسب طابقية"
"Second Quarter","يونيو","الربع الثاني","---","370482","8903","Number","العدد","2","June","Floor Area Ratio Buildings","بناء جديد","2011","2","6","6724","مباني نسب طابقية"
"Second Quarter","يونيو","الربع الثاني","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Floor Area Ratio Buildings","إضافات وتعديلات","2011","1542","6","6725","مباني نسب طابقية"
"Second Quarter","يونيو","الربع الثاني","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Floor Area Ratio Buildings","بناء جديد","2011","1084692","6","6725","مباني نسب طابقية"
"Third Quarter","يوليو","الربع الثالث","---","370477","8902","Number","العدد","3","July","Private Villa","إضافات وتعديلات","2011","589","7","6714","فلل خاصة"
"Third Quarter","يوليو","الربع الثالث","---","370477","8903","Number","العدد","3","July","Private Villa","بناء جديد","2011","309","7","6714","فلل خاصة"
"Third Quarter","يوليو","الربع الثالث","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","3","July","Private Villa","إضافات وتعديلات","2011","123774.7","7","6715","فلل خاصة"
"Third Quarter","يوليو","الربع الثالث","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","3","July","Private Villa","بناء جديد","2011","1442324.2","7","6715","فلل خاصة"
"Third Quarter","يوليو","الربع الثالث","---","370478","8902","Number","العدد","3","July","Investment Villa","إضافات وتعديلات","2011","29","7","6716","فلل إستثمارية"
"Third Quarter","يوليو","الربع الثالث","---","370478","8903","Number","العدد","3","July","Investment Villa","بناء جديد","2011","46","7","6716","فلل إستثمارية"
"Third Quarter","يوليو","الربع الثالث","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","3","July","Investment Villa","إضافات وتعديلات","2011","62382.6","7","6717","فلل إستثمارية"
"Third Quarter","يوليو","الربع الثالث","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","3","July","Investment Villa","بناء جديد","2011","331193.3","7","6717","فلل إستثمارية"
"Third Quarter","يوليو","الربع الثالث","---","370479","8902","Number","العدد","3","July","Industrial Buildings","إضافات وتعديلات","2011","52","7","6718","مباني صناعية"
"Third Quarter","يوليو","الربع الثالث","---","370479","8903","Number","العدد","3","July","Industrial Buildings","بناء جديد","2011","5","7","6718","مباني صناعية"
"Third Quarter","يوليو","الربع الثالث","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","3","July","Industrial Buildings","إضافات وتعديلات","2011","89297","7","6719","مباني صناعية"
"Third Quarter","يوليو","الربع الثالث","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","3","July","Industrial Buildings","بناء جديد","2011","240841.5","7","6719","مباني صناعية"
"Third Quarter","يوليو","الربع الثالث","---","370480","8902","Number","العدد","3","July","Public Buildings","إضافات وتعديلات","2011","76","7","6720","مباني عامة"
"Third Quarter","يوليو","الربع الثالث","---","370480","8903","Number","العدد","3","July","Public Buildings","بناء جديد","2011","7","7","6720","مباني عامة"
"Third Quarter","يوليو","الربع الثالث","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","3","July","Public Buildings","إضافات وتعديلات","2011","72405.1","7","6721","مباني عامة"
"Third Quarter","يوليو","الربع الثالث","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","3","July","Public Buildings","بناء جديد","2011","145800.6","7","6721","مباني عامة"
"Third Quarter","يوليو","الربع الثالث","---","370481","8902","Number","العدد","3","July","Multi-Storey Buildings","إضافات وتعديلات","2011","97","7","6722","مباني متعددة الطوابق"
"Third Quarter","يوليو","الربع الثالث","---","370481","8903","Number","العدد","3","July","Multi-Storey Buildings","بناء جديد","2011","7","7","6722","مباني متعددة الطوابق"
"Third Quarter","يوليو","الربع الثالث","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","3","July","Multi-Storey Buildings","إضافات وتعديلات","2011","164010","7","6723","مباني متعددة الطوابق"
"Third Quarter","يوليو","الربع الثالث","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","3","July","Multi-Storey Buildings","بناء جديد","2011","1843498","7","6723","مباني متعددة الطوابق"
"Third Quarter","يوليو","الربع الثالث","---","370482","8902","Number","العدد","3","July","Floor Area Ratio Buildings","إضافات وتعديلات","2011","36","7","6724","مباني نسب طابقية"
"Third Quarter","يوليو","الربع الثالث","---","370482","8903","Number","العدد","3","July","Floor Area Ratio Buildings","بناء جديد","2011","4","7","6724","مباني نسب طابقية"
"Third Quarter","يوليو","الربع الثالث","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","3","July","Floor Area Ratio Buildings","إضافات وتعديلات","2011","-100090.6","7","6725","مباني نسب طابقية"
"Third Quarter","يوليو","الربع الثالث","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","3","July","Floor Area Ratio Buildings","بناء جديد","2011","5693180.8","7","6725","مباني نسب طابقية"
"Third Quarter","أغسطس","الربع الثالث","---","370477","8902","Number","العدد","3","August","Private Villa","إضافات وتعديلات","2011","393","8","6714","فلل خاصة"
"Third Quarter","أغسطس","الربع الثالث","---","370477","8903","Number","العدد","3","August","Private Villa","بناء جديد","2011","115","8","6714","فلل خاصة"
"Third Quarter","أغسطس","الربع الثالث","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","3","August","Private Villa","إضافات وتعديلات","2011","72393.2","8","6715","فلل خاصة"
"Third Quarter","أغسطس","الربع الثالث","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","3","August","Private Villa","بناء جديد","2011","627767.4","8","6715","فلل خاصة"
"Third Quarter","أغسطس","الربع الثالث","---","370478","8902","Number","العدد","3","August","Investment Villa","إضافات وتعديلات","2011","20","8","6716","فلل إستثمارية"
"Third Quarter","أغسطس","الربع الثالث","---","370478","8903","Number","العدد","3","August","Investment Villa","بناء جديد","2011","70","8","6716","فلل إستثمارية"
"Third Quarter","أغسطس","الربع الثالث","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","3","August","Investment Villa","إضافات وتعديلات","2011","623.1","8","6717","فلل إستثمارية"
"Third Quarter","أغسطس","الربع الثالث","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","3","August","Investment Villa","بناء جديد","2011","481390.3","8","6717","فلل إستثمارية"
"Third Quarter","أغسطس","الربع الثالث","---","370479","8902","Number","العدد","3","August","Industrial Buildings","إضافات وتعديلات","2011","36","8","6718","مباني صناعية"
"Third Quarter","أغسطس","الربع الثالث","---","370479","8903","Number","العدد","3","August","Industrial Buildings","بناء جديد","2011","5","8","6718","مباني صناعية"
"Third Quarter","أغسطس","الربع الثالث","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","3","August","Industrial Buildings","إضافات وتعديلات","2011","87787.7","8","6719","مباني صناعية"
"Third Quarter","أغسطس","الربع الثالث","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","3","August","Industrial Buildings","بناء جديد","2011","496328.5","8","6719","مباني صناعية"
"Third Quarter","أغسطس","الربع الثالث","---","370480","8902","Number","العدد","3","August","Public Buildings","إضافات وتعديلات","2011","49","8","6720","مباني عامة"
"Third Quarter","أغسطس","الربع الثالث","---","370480","8903","Number","العدد","3","August","Public Buildings","بناء جديد","2011","5","8","6720","مباني عامة"
"Third Quarter","أغسطس","الربع الثالث","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","3","August","Public Buildings","إضافات وتعديلات","2011","24301.8","8","6721","مباني عامة"
"Third Quarter","أغسطس","الربع الثالث","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","3","August","Public Buildings","بناء جديد","2011","49261.6","8","6721","مباني عامة"
"Third Quarter","أغسطس","الربع الثالث","---","370481","8902","Number","العدد","3","August","Multi-Storey Buildings","إضافات وتعديلات","2011","92","8","6722","مباني متعددة الطوابق"
"Third Quarter","أغسطس","الربع الثالث","---","370481","8903","Number","العدد","3","August","Multi-Storey Buildings","بناء جديد","2011","7","8","6722","مباني متعددة الطوابق"
"Third Quarter","أغسطس","الربع الثالث","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","3","August","Multi-Storey Buildings","إضافات وتعديلات","2011","-14211.8","8","6723","مباني متعددة الطوابق"
"Third Quarter","أغسطس","الربع الثالث","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","3","August","Multi-Storey Buildings","بناء جديد","2011","222253.4","8","6723","مباني متعددة الطوابق"
"Third Quarter","أغسطس","الربع الثالث","---","370482","8902","Number","العدد","3","August","Floor Area Ratio Buildings","إضافات وتعديلات","2011","47","8","6724","مباني نسب طابقية"
"Third Quarter","أغسطس","الربع الثالث","---","370482","8903","Number","العدد","3","August","Floor Area Ratio Buildings","بناء جديد","2011","4","8","6724","مباني نسب طابقية"
"Third Quarter","أغسطس","الربع الثالث","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","3","August","Floor Area Ratio Buildings","إضافات وتعديلات","2011","2208.3","8","6725","مباني نسب طابقية"
"Third Quarter","أغسطس","الربع الثالث","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","3","August","Floor Area Ratio Buildings","بناء جديد","2011","569070.3","8","6725","مباني نسب طابقية"
"Third Quarter","سبتمبر","الربع الثالث","---","370477","8902","Number","العدد","3","September","Private Villa","إضافات وتعديلات","2011","509","9","6714","فلل خاصة"
"Third Quarter","سبتمبر","الربع الثالث","---","370477","8903","Number","العدد","3","September","Private Villa","بناء جديد","2011","169","9","6714","فلل خاصة"
"Third Quarter","سبتمبر","الربع الثالث","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","3","September","Private Villa","إضافات وتعديلات","2011","152612.2","9","6715","فلل خاصة"
"Third Quarter","سبتمبر","الربع الثالث","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","3","September","Private Villa","بناء جديد","2011","869233.7","9","6715","فلل خاصة"
"Third Quarter","سبتمبر","الربع الثالث","---","370478","8902","Number","العدد","3","September","Investment Villa","إضافات وتعديلات","2011","34","9","6716","فلل إستثمارية"
"Third Quarter","سبتمبر","الربع الثالث","---","370478","8903","Number","العدد","3","September","Investment Villa","بناء جديد","2011","96","9","6716","فلل إستثمارية"
"Third Quarter","سبتمبر","الربع الثالث","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","3","September","Investment Villa","إضافات وتعديلات","2011","15682.1","9","6717","فلل إستثمارية"
"Third Quarter","سبتمبر","الربع الثالث","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","3","September","Investment Villa","بناء جديد","2011","781758.5","9","6717","فلل إستثمارية"
"Third Quarter","سبتمبر","الربع الثالث","---","370479","8902","Number","العدد","3","September","Industrial Buildings","إضافات وتعديلات","2011","64","9","6718","مباني صناعية"
"Third Quarter","سبتمبر","الربع الثالث","---","370479","8903","Number","العدد","3","September","Industrial Buildings","بناء جديد","2011","3","9","6718","مباني صناعية"
"Third Quarter","سبتمبر","الربع الثالث","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","3","September","Industrial Buildings","إضافات وتعديلات","2011","63549.6","9","6719","مباني صناعية"
"Third Quarter","سبتمبر","الربع الثالث","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","3","September","Industrial Buildings","بناء جديد","2011","196222","9","6719","مباني صناعية"
"Third Quarter","سبتمبر","الربع الثالث","---","370480","8902","Number","العدد","3","September","Public Buildings","إضافات وتعديلات","2011","91","9","6720","مباني عامة"
"Third Quarter","سبتمبر","الربع الثالث","---","370480","8903","Number","العدد","3","September","Public Buildings","بناء جديد","2011","16","9","6720","مباني عامة"
"Third Quarter","سبتمبر","الربع الثالث","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","3","September","Public Buildings","إضافات وتعديلات","2011","46256.5","9","6721","مباني عامة"
"Third Quarter","سبتمبر","الربع الثالث","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","3","September","Public Buildings","بناء جديد","2011","203371.5","9","6721","مباني عامة"
"Third Quarter","سبتمبر","الربع الثالث","---","370481","8902","Number","العدد","3","September","Multi-Storey Buildings","إضافات وتعديلات","2011","89","9","6722","مباني متعددة الطوابق"
"Third Quarter","سبتمبر","الربع الثالث","---","370481","8903","Number","العدد","3","September","Multi-Storey Buildings","بناء جديد","2011","8","9","6722","مباني متعددة الطوابق"
"Third Quarter","سبتمبر","الربع الثالث","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","3","September","Multi-Storey Buildings","إضافات وتعديلات","2011","33561.1","9","6723","مباني متعددة الطوابق"
"Third Quarter","سبتمبر","الربع الثالث","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","3","September","Multi-Storey Buildings","بناء جديد","2011","268781.3","9","6723","مباني متعددة الطوابق"
"Third Quarter","سبتمبر","الربع الثالث","---","370482","8902","Number","العدد","3","September","Floor Area Ratio Buildings","إضافات وتعديلات","2011","24","9","6724","مباني نسب طابقية"
"Third Quarter","سبتمبر","الربع الثالث","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","3","September","Floor Area Ratio Buildings","إضافات وتعديلات","2011","1006.3","9","6725","مباني نسب طابقية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370477","8902","Number","العدد","4","October","Private Villa","إضافات وتعديلات","2011","525","10","6714","فلل خاصة"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370477","8903","Number","العدد","4","October","Private Villa","بناء جديد","2011","274","10","6714","فلل خاصة"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","4","October","Private Villa","إضافات وتعديلات","2011","86323.3","10","6715","فلل خاصة"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","4","October","Private Villa","بناء جديد","2011","1529073.7","10","6715","فلل خاصة"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370478","8902","Number","العدد","4","October","Investment Villa","إضافات وتعديلات","2011","24","10","6716","فلل إستثمارية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370478","8903","Number","العدد","4","October","Investment Villa","بناء جديد","2011","32","10","6716","فلل إستثمارية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","4","October","Investment Villa","إضافات وتعديلات","2011","1800.4","10","6717","فلل إستثمارية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","4","October","Investment Villa","بناء جديد","2011","403314.1","10","6717","فلل إستثمارية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370479","8902","Number","العدد","4","October","Industrial Buildings","إضافات وتعديلات","2011","87","10","6718","مباني صناعية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370479","8903","Number","العدد","4","October","Industrial Buildings","بناء جديد","2011","6","10","6718","مباني صناعية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","4","October","Industrial Buildings","إضافات وتعديلات","2011","318903.1","10","6719","مباني صناعية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","4","October","Industrial Buildings","بناء جديد","2011","527923.6","10","6719","مباني صناعية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370480","8902","Number","العدد","4","October","Public Buildings","إضافات وتعديلات","2011","90","10","6720","مباني عامة"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370480","8903","Number","العدد","4","October","Public Buildings","بناء جديد","2011","17","10","6720","مباني عامة"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","4","October","Public Buildings","إضافات وتعديلات","2011","453403.6","10","6721","مباني عامة"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","4","October","Public Buildings","بناء جديد","2011","266751.2","10","6721","مباني عامة"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370481","8902","Number","العدد","4","October","Multi-Storey Buildings","إضافات وتعديلات","2011","91","10","6722","مباني متعددة الطوابق"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370481","8903","Number","العدد","4","October","Multi-Storey Buildings","بناء جديد","2011","10","10","6722","مباني متعددة الطوابق"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","4","October","Multi-Storey Buildings","إضافات وتعديلات","2011","356080.2","10","6723","مباني متعددة الطوابق"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","4","October","Multi-Storey Buildings","بناء جديد","2011","684858.7","10","6723","مباني متعددة الطوابق"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370482","8902","Number","العدد","4","October","Floor Area Ratio Buildings","إضافات وتعديلات","2011","26","10","6724","مباني نسب طابقية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370482","8903","Number","العدد","4","October","Floor Area Ratio Buildings","بناء جديد","2011","1","10","6724","مباني نسب طابقية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","4","October","Floor Area Ratio Buildings","إضافات وتعديلات","2011","10290.9","10","6725","مباني نسب طابقية"
"Fourth Quarter","أكتوبر","الربع الرابع","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","4","October","Floor Area Ratio Buildings","بناء جديد","2011","68081.4","10","6725","مباني نسب طابقية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370477","8902","Number","العدد","4","November","Private Villa","إضافات وتعديلات","2011","419","11","6714","فلل خاصة"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370477","8903","Number","العدد","4","November","Private Villa","بناء جديد","2011","150","11","6714","فلل خاصة"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","4","November","Private Villa","إضافات وتعديلات","2011","130645.9","11","6715","فلل خاصة"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","4","November","Private Villa","بناء جديد","2011","892569","11","6715","فلل خاصة"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370478","8902","Number","العدد","4","November","Investment Villa","إضافات وتعديلات","2011","22","11","6716","فلل إستثمارية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370478","8903","Number","العدد","4","November","Investment Villa","بناء جديد","2011","35","11","6716","فلل إستثمارية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","4","November","Investment Villa","إضافات وتعديلات","2011","1499.8","11","6717","فلل إستثمارية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","4","November","Investment Villa","بناء جديد","2011","530492.8","11","6717","فلل إستثمارية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370479","8902","Number","العدد","4","November","Industrial Buildings","إضافات وتعديلات","2011","63","11","6718","مباني صناعية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370479","8903","Number","العدد","4","November","Industrial Buildings","بناء جديد","2011","6","11","6718","مباني صناعية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","4","November","Industrial Buildings","إضافات وتعديلات","2011","81128.1","11","6719","مباني صناعية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","4","November","Industrial Buildings","بناء جديد","2011","380479.8","11","6719","مباني صناعية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370480","8902","Number","العدد","4","November","Public Buildings","إضافات وتعديلات","2011","73","11","6720","مباني عامة"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370480","8903","Number","العدد","4","November","Public Buildings","بناء جديد","2011","36","11","6720","مباني عامة"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","4","November","Public Buildings","إضافات وتعديلات","2011","835635.7","11","6721","مباني عامة"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","4","November","Public Buildings","بناء جديد","2011","1692357","11","6721","مباني عامة"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370481","8902","Number","العدد","4","November","Multi-Storey Buildings","إضافات وتعديلات","2011","86","11","6722","مباني متعددة الطوابق"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370481","8903","Number","العدد","4","November","Multi-Storey Buildings","بناء جديد","2011","6","11","6722","مباني متعددة الطوابق"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","4","November","Multi-Storey Buildings","إضافات وتعديلات","2011","104833.5","11","6723","مباني متعددة الطوابق"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","4","November","Multi-Storey Buildings","بناء جديد","2011","325443.6","11","6723","مباني متعددة الطوابق"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370482","8902","Number","العدد","4","November","Floor Area Ratio Buildings","إضافات وتعديلات","2011","26","11","6724","مباني نسب طابقية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370482","8903","Number","العدد","4","November","Floor Area Ratio Buildings","بناء جديد","2011","3","11","6724","مباني نسب طابقية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","4","November","Floor Area Ratio Buildings","إضافات وتعديلات","2011","5531.1","11","6725","مباني نسب طابقية"
"Fourth Quarter","نوفمبر","الربع الرابع","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","4","November","Floor Area Ratio Buildings","بناء جديد","2011","338358.4","11","6725","مباني نسب طابقية"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370477","8902","Number","العدد","4","December","Private Villa","إضافات وتعديلات","2011","411","12","6714","فلل خاصة"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370477","8903","Number","العدد","4","December","Private Villa","بناء جديد","2011","120","12","6714","فلل خاصة"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","4","December","Private Villa","إضافات وتعديلات","2011","159498.7","12","6715","فلل خاصة"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","4","December","Private Villa","بناء جديد","2011","774259.1","12","6715","فلل خاصة"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370478","8902","Number","العدد","4","December","Investment Villa","إضافات وتعديلات","2011","24","12","6716","فلل إستثمارية"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370478","8903","Number","العدد","4","December","Investment Villa","بناء جديد","2011","14","12","6716","فلل إستثمارية"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","4","December","Investment Villa","إضافات وتعديلات","2011","8658","12","6717","فلل إستثمارية"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","4","December","Investment Villa","بناء جديد","2011","121177.3","12","6717","فلل إستثمارية"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370479","8902","Number","العدد","4","December","Industrial Buildings","إضافات وتعديلات","2011","69","12","6718","مباني صناعية"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370479","8903","Number","العدد","4","December","Industrial Buildings","بناء جديد","2011","10","12","6718","مباني صناعية"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","4","December","Industrial Buildings","إضافات وتعديلات","2011","57858.7","12","6719","مباني صناعية"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","4","December","Industrial Buildings","بناء جديد","2011","597344","12","6719","مباني صناعية"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370480","8902","Number","العدد","4","December","Public Buildings","إضافات وتعديلات","2011","56","12","6720","مباني عامة"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370480","8903","Number","العدد","4","December","Public Buildings","بناء جديد","2011","9","12","6720","مباني عامة"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","4","December","Public Buildings","إضافات وتعديلات","2011","167277.4","12","6721","مباني عامة"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","4","December","Public Buildings","بناء جديد","2011","81085.2","12","6721","مباني عامة"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370481","8902","Number","العدد","4","December","Multi-Storey Buildings","إضافات وتعديلات","2011","83","12","6722","مباني متعددة الطوابق"
"Fourth Quarter","ديسمبر","الربع الرابع","---","370481","8903","Number","العدد","4","December","Multi-Storey Buildings","بناء جديد","2011","10","12","6722","مباني متعددة الطوابق"
