zoning_authority_ar,project_status,developer_name,master_developer_number,project_type_ar,project_classification_ar,area_id,project_name,project_end_date,escrow_agent_name,no_of_buildings,project_id,project_status_ar,developer_number,developer_id,project_start_date,project_type_id,no_of_lands,master_project_en,no_of_units,no_of_villas,project_classification_id,area_name_en,property_id,cancellation_date,zoning_authority_id,percent_completed,master_developer_id,escrow_agent_id,area_name_ar,project_number,project_description_en,master_developer_name,zoning_authority_en,completion_date,master_project_ar,project_description_ar
"سلطة دبي للتطوير","FINISHED","دبي كريك هاربور ش.ذ.م.م","1224","عادي","مباني","447","شاطئ الخور - بريز","2022-10-06","بنك دبي التجاري (ش.م.ع)","3","192667556","منجز","1224","157074894","2019-02-24","1","0","Dubai Creek Harbour","202","0","1","Al Khairan First","380267109","null","2","100","157074894","10","الخيران الأولى","2096","Phase 1 Residential mid-rise Development (Breeze Cluster) Breeze at Peninsula  Building 1 - G+M+7+R- 45 Residentinal Units , Building 2 - G+M+11+R - 84 Residential Units  Building 3 - G+M+10+R - 70 Residential units ","دبي كريك هاربور ش.ذ.م.م","Dubai Development Authority (DDA)","2022-10-06","خور دبي","المرحلة 1 مشروع سكني متوسط ??الارتفاع (مجموعة بريز) بريز في بينينسولا  مبنى 1 - G + M + 7 + R- 45 وحدة سكنية ، مبنى 2 - G + M + 11 + R - 84 وحدة سكنية  مبني 3 - G + M + 10 + R - 70 وحدة سكنية"
"سلطة دبي للتطوير","FINISHED","ليوان(ش.ذ.م.م.)","1121","عادي","مباني","464","كيولاين (كيوبوينت فيز 2)3C-LW-R-054","2016-11-01","بنك المشرق (شركة مساهمة عامة)","1","27187653","منجز","904","904","2015-07-01","1","0","Liwan1","108","0","1","Wadi Al Safa 2","536410859","null","2","100","27962557","33","وادي الصفا 2","1704","Project located in Wadi al Safa 2, Dubai area, project proposed to be residential building:G+9+1R made of concrete structure with internal and external finishes.","ليوان(ش.ذ.م.م.)","Dubai Development Authority (DDA)","2016-11-01","ليوان 1","يقع المشروع في وادي الصفا 2 , دبي . يتكون المشروع من     من هيكل خرساني مع التشطيبات الخارجيه والداخلية G+9+1R.  .  "
"تراخيص","ACTIVE","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","مايسون الاليزيه II ","null","بنك ابوظبى التجارى","1","572456064","فعال","1364","372307639","2024-07-01","1","0","Jumeirah Village Circle","348","0","1","Al Barsha South Fourth","212624181","null","4","3","102","5","البرشاء جنوب الرابعة","2902","(2 Basement+ Ground+04 Podiums+22Floors+Roof)","قرية جميرا (ش.ذ.م.م)","Trakhees","null","قرية جميرا الدائرية","(  مواقف سفلي02  + أرضي + 4 طوابق مواقف علوي + 22 طابق + رووف)"
"سلطة دبي للتطوير","CONDITIONAL_ACTIVATING","دى اتش ايه ام منطقه حره - ذ.م.م","914","عادي","مباني","414","فينسيتوري أكوا دي مووري","null","بنك المشرق (شركة مساهمة عامة)","1","558688710","تفعيل مشروط","1729","541078787","2024-06-01","1","0","Dubai Science Park","987","0","1","Al Barshaa South Second","793104812","null","2","2","914","33","البرشاء جنوب الثانية","2855","Proposed B+G+3P+19+Roof Residential building. The project designed to have a concrete structure and block with internal and external finishes.","دى اتش ايه ام منطقه حره - ذ.م.م","Dubai Development Authority (DDA)","null","حديقة دبي للعلوم","N/A"
"تراخيص","ACTIVE","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","كوبيكس رسيدنسس ","2025-11-01","بنك دبي التجاري (ش.م.ع)","1","544908674","فعال","1692","533249294","2023-12-19","1","0","Jumeirah Village Circle","72","0","1","Al Barsha South Fourth","1564397723","null","4","73","102","10","البرشاء جنوب الرابعة","2812","G+P+5+R Mix use development,The project designed to have a concrete structure and block with internal and external finishes.","قرية جميرا (ش.ذ.م.م)","Trakhees","null","قرية جميرا الدائرية","N/A"
"سلطة دبي للتطوير","ACTIVE","إعمار للتطوير (مساهمة عامة)","1211","عادي","مباني","390","فندق ومساكن بكارات ، دبي","2026-12-29","بنك الإمارات دبي الوطني (ش.م.ع)","2","521906306","فعال","1580","493273185","2023-03-20","1","0","DownTown Dubai","98","0","1","Burj Khalifa","139116470","null","2","7","137044480","7","برج خليفة","2724","B2+G+44 and B2+G+27","إعمار للتطوير (مساهمة عامة)","Dubai Development Authority (DDA)","2026-12-29","داون تاون دبي","B2+G+44 and B2+G+27"
"تراخيص","ACTIVE","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","442","ليليوم تاور","2026-03-31","بنك ابوظبى التجارى","1","509530441","فعال","581","581","2023-08-01","1","0","","266","0","1","Al Barsha South Fifth","976914742","null","4","31","102","5","البرشاء جنوب الخامسة","2687","B+G+4P+28F+R,Residential+Commercial.The project designed to have a concrete structure and block with internal and external finishes.","قرية جميرا (ش.ذ.م.م)","Trakhees","2026-03-31","","N/A"
"تراخيص","ACTIVE","شركة نخيل (ش.م.خ)","100","عادي","مباني","432","بيتش ووك ريزيدنسز 2","2026-08-10","بنك أبوظبي الأول ش.م.ع.","1","644597748","فعال","1641","513435692","2024-08-10","1","0","Palm Deira","63","0","1","Palm Deira","222445058","null","4","47","100","25","نخلة ديرة","3224"," G+2P+8F+R (Residential Building).The project designed to have a concrete structure and block with internal and external finishes.","شركة نخيل (ش.م.خ)","Trakhees","null","نخلة ديرة","N/A"
"سلطة دبي للتطوير","ACTIVE","دبي لاند ريزيدنسز (ش.ذ.م.م)","899","عادي","مباني","467","سمانا بارك ميدوز","2027-08-31","بنك دبي التجاري (ش.م.ع)","1","571087243","فعال","1229","164137069","2024-08-01","1","0","Dubai Land Residence Complex","205","0","1","Wadi Al Safa 5","1374421655","null","2","4","899","10","وادي الصفا 5","2896","2B+G+16+R.The project designed to have a concrete structure and block with internal and external finishes.  ","دبي لاند ريزيدنسز (ش.ذ.م.م)","Dubai Development Authority (DDA)","null","مجمع دبي لاند السكني","N/A  "
"تراخيص","PENDING","شركة نخيل (ش.م.خ)","100","عادي","مباني","432","أوموريا ريزورت ريزيدنسز","2028-12-31","مصرف الشارقه الاسلامى","0","700450567","قيد التسجيل","1175","47396662","2025-04-01","1","0","Palm Deira","0","0","1","Palm Deira","528820264","null","4","0","100","16","نخلة ديرة","3471","	  B+G+7","شركة نخيل (ش.م.خ)","Trakhees","null","نخلة ديرة","	   سرداب + أرضي + 7"
"دبي للجنوب","PENDING","مؤسسه مدينه دبى للطيران","996","عادي","مباني","462","ذي سيرين","2026-10-13","بنك برودا","1","797628875","قيد التسجيل","2351","759696078","2025-04-14","1","0","Dubai South Residential District","106","0","1","Madinat Al Mataar","1650825009","null","5","10","11808939","17","مدينة المطار","4020","Proposed Residential Building (GR+4)","مؤسسه مدينه دبى للطيران","Dubai South","null","المدينة السكنية بدبي الجنوب","Proposed Residential Building (GR+4)"
"بلدية دبي","FINISHED","مجموعة ميدان (ش.ذ.م.م)","1181","عادي","مباني","335","عزيزي غاردنز","2023-12-11","بنك ابوظبى التجارى","1","165943817","منجز","1002","12595870","2018-02-01","1","0","Meydan Racecourse Community","82","0","1","Nad Al Shiba First","312810942","null","1","100","53873272","5","ند الشبا الاولى","2037","PROJECT CONSISTS OF 2B+G+4+R RESIDENTIAL APARTMENTS AND RETAIL LOCATED IN AL NAD AL SHIBA FIRST. THE APARTMENTS ARE DESIGNED TO HAVE A CONCRETE STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES.    ","مجموعة ميدان (ش.ذ.م.م)","Dubai Municipality","2023-12-11","مجمع مضمار ميدان",".(2B+G+4+R) المشروع يتكون من شقق سكنية و محلات تجارية في منطقة ند الشبا الأولى      التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخليةوخارجية      "
"تراخيص","FINISHED","عقارات جميرا جولف ش.ذ.م.م","108","عادي","فلل","485","أوليف بوينت","2014-01-13","بنك ابوظبى التجارى","0","617","منجز","388","388","2008-11-01","1","42","Jumeirah Golf Estates","0","1","2","Me'Aisem First","1104600255","null","4","100","108","5","معيصم الأول","617","Freehold residential villa development located at the residential part of Jumeirah Golf Estate/Jebel Ali. Designed and constructed as a 18 villa development 2 stories high with a basement; built as a concrete skeleton and block works with cement render finishes and stone ornaments.","عقارات جميرا جولف ش.ذ.م.م","Trakhees","2014-01-13","جميرا غولف للعقارات","مشروع فلل سكنية للتملك الحر يقع في منطقة جبل علي -جميرا جولف استيت. يتالف المشروع من 18 فيلا ارضي+طابق علوي مع سرداب مشيدة من هيكل خرساني وكتل طابوقية (بلوك) مع انهاءاته الخارجية و الداخلية"
"تراخيص","NOT_STARTED","شركة نخيل (ش.م.خ)","100","عادي","مباني","441","عزيزي روبي","2028-01-23","بنك ابوظبى التجارى","1","712198426","تحت الانشاء","1002","12595870","2025-01-23","1","0","Jumeirah Village Circle","264","0","1","Al Barsha South Fourth","858339040","null","4","0","100","5","البرشاء جنوب الرابعة","3529","PROPOSED BUILDING 3B+G+4P+14+R+Roof Top  RESIDENTIAL & RETAIL BUILDING","شركة نخيل (ش.م.خ)","Trakhees","null","قرية جميرا الدائرية","PROPOSED BUILDING 3B+G+4P+14+R+Roof Top  RESIDENTIAL & RETAIL BUILDING"
"سلطة دبي للتطوير","NOT_STARTED","مراس العقارية (ش.ذ.م.م)","1","عادي","مباني","317","(3، 2، 1) سولايا","2029-06-30","بنك دبي التجاري (ش.م.ع)","3","814138785","تحت الانشاء","1824","576219035","2026-01-30","1","0","LA MER","67","0","1","Jumeirah First","713910470","null","2","0","1","10","جميرا الاولى","4089","-	3 Residential Buildings comprising of 67 Residential units (2BHK=14, 3BHK=22, 4BHK=24, 5BHK=4, PH=3)  -	Solaya 1 : B+G+6+R (18# -Resi. Units).  -	Solaya 2 : B+G+7+R (22# - Resi. Units).  -	Solaya 3 : B+G+8+R (27# - Resi. Units).","مراس العقارية (ش.ذ.م.م)","Dubai Development Authority (DDA)","null","لامير","تتألف 3 مبانٍ سكنية من 67 وحدة سكنية، موزعة كالتالي: 14 وحدة من غرفتين نوم، 22 وحدة من ثلاث غرف نوم، 24 وحدة من أربع غرف نوم، 4 وحدات من خمس غرف نوم، و3 وحدات عبارة عن شقة كاملة في الطابق العلوي.  -	مبنى 1: طابق سفلي + أرضي + 6 طوابق + سطح (18 وحدة سكنية).  -	مبنى 2: طابق سفلي + أرضي + 7 طوابق + سطح (22 وحدة سكنية).  -	مبنى 3: طابق سفلي + أرضي + 8 طوابق + سطح (27 وحدة سكنية)."
"دبي للجنوب","PENDING","إعمار دبي الجنوب دي دبليو سي ش.ذ.م.م","1155","عادي","مباني","462","جولف هيلز","2029-09-30","بنك أبوظبي الأول ش.م.ع.","0","818317808","قيد التسجيل","1155","33891624","2025-12-30","1","0","Dubai World Central","0","0","1","Madinat Al Mataar","1811993820","null","5","0","33891624","25","مدينة المطار","4117","G+P+10 Floors Residential Building","إعمار دبي الجنوب دي دبليو سي ش.ذ.م.م","Dubai South","null","دبي ورلد سنترال","G+P+10 Floors Residential Building"
"تراخيص","NOT_STARTED","شركة نخيل (ش.م.خ)","100","عادي","مباني","432"," جزر دبي - B باي غروف رزيدينسز  ","2028-09-21","بنك راس الخيمه الوطنى ش.م.ع","3","735597757","تحت الانشاء","105","105","2025-06-17","1","0","Palm Deira","241","0","1","Palm Deira","1604840265","null","4","0","100","647733814","نخلة ديرة","3631","The project is residences located at Dubai Islands. The Project Introduces one combined Basement, one combined Ground + 3 Buildings:    BG 5 = B+G+8+R (50 Units)   BG 6 = B+G+10+R (73 Units)   BG 7 = B+G+20+R (118 Units)   The Residences Consists of a total of 241 Apartments with unit mix of 1-Bedroom, 2-Bedrooms, 3-Bedrooms & 4-Bedrooms (Duplex Apartments). ","شركة نخيل (ش.م.خ)","Trakhees","null","نخلة ديرة","مشروع سكني مكون من مباني سكنيه في جزر دبي كالاتي :  المشروع مكون من سرداب + طابق + أرضي + 3 أبنيه  مبنى 5 : سرداب + طابق أرضي + 8 طوابق (50 شقه)  مبنى 6 : سرداب + طابق أرضي + 10 طابق (73 شقه)  مبنى 7 : سرداب + طابق أرضي + 20 طابق (118 شقه)  حيث تتكون المباني من 241 وحده سكنيه كعدد إجمالي  وبأنواع مختلفه من غرفة نوم واحده ، غرفتي نوم ، 3 غرف نوم ، و 4 غرف نوم بعضها بطابقين   "
"بلدية دبي","ACTIVE","مركز دبي للسلع المتعددة","153","عادي","مباني","350","ميرسر هاوس","2027-07-31","بنك ابوظبى التجارى","2","594382651","فعال","1466","434385703","2024-03-01","1","0","DMCC-EZ1","610","0","1","Al Thanyah Fifth","2045863348","null","1","6","153","5","الثنيه الخامسة","2990","2 Buildings (Residential and Commercial Building B+G+4P+41+R).The project designed to have a concrete structure and block with internal and external finishes.","مركز دبي للسلع المتعددة","Dubai Municipality","2027-07-31","مركز دبي للسلع المتعددة - المرحلة الاولى","N/A"
"سلطة دبي للتطوير","FINISHED","رمرام ش.ذ.م.م","41","عادي","مباني","464","كيو بوينت ليوان -PLOT R094","2013-11-11","بنك المشرق (شركة مساهمة عامة)","1","1205","منجز","903","903","2009-07-01","1","0","Liwan1","55","0","1","Wadi Al Safa 2","35804985","null","2","100","41","33","وادي الصفا 2","1205","Freehold residential development located in NAD AL SHIBA - Dubai. The building is designed and constructed as a G+6 concrete structure with external and internal finishing.","رمرام ش.ذ.م.م","Dubai Development Authority (DDA)","2013-11-11","ليوان 1","مشروع بناية سكنية للتملك الحر يقع في منطقة ند الشبا. المشروع عبارة طابق ارضي + 6 طوابق مشيدة بهيكل خرساني مع الانهاءات الخارجية و الداخلية"
"بلدية دبي","FINISHED","مجموعة ميدان (ش.ذ.م.م)","1181","عادي","فلل","412","مدينة محمد بن راشد آل مكتوم - الحي الأول ب فلل  ","2024-06-30","بنك دبي الاسلامي (شركة مساهمة عامة)","0","362215850","منجز","956","8370589","2022-01-15","1","161","Mohammed Bin Rashid AL Maktoum City -District -1 Community","0","0","2","Al Merkadh","359559873","null","1","100","53873272","1","المركاض","2266","161 Residential Luxury Villas (G+1) Villas, the project designed to have a concrete structure and block with internal and external finishes.","مجموعة ميدان (ش.ذ.م.م)","Dubai Municipality","2024-06-30"," مجمع مدينة الشيخ محمد بن راشد آل مكتوم - ديستريكت -1","N/A"
"سلطة دبي للتطوير","ACTIVE","مدينة دبي للغولف  (ش.ذ.م.م)","98","عادي","فلل","451","Paradise Hills","2025-12-30","مصرف الشارقه الاسلامى","1","14325316","فعال","1399","391349147","2014-10-01","1","108","","8","170","2","Al Hebiah Fifth","1487822146","null","2","83","98","16","الحبيه الخامسة","1585","New Total units = 65 Villas: G+2 x 27   Townhouses: G+2 x 30 & G+1 x 8","مدينة دبي للغولف  (ش.ذ.م.م)","Dubai Development Authority (DDA)","2025-12-30","","New Total units = 65 Villas: G+2 x 27   Townhouses: G+2 x 30 & G+1 x 8 "
"تراخيص","FINISHED"," ليمتلس ش .ذ.م.م","181","عادي","مباني","478","عزيزي أورا ريزيدنزس","2020-05-31","بنك ابوظبى التجارى","1","83055243","منجز","1002","12595870","2017-05-01","1","0","Down Town Jabal Ali","487","0","1","Jabal Ali Industrial Second","8410799","null","4","100","181","5","جبل علي الصناعية الثانية","1897","PROJECT CONSISTS OF B+G+2P+17+R RESIDENTIAL BUILDING WITH RETAIL AT GROUND FLOOR LOCATED IN JABAL ALI INDUSTRIAL SECOND. THE APARTMENTS ARE DESIGNED TO HAVE A CONCRETE STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES.      "," ليمتلس ش .ذ.م.م","Trakhees","2020-12-20","دون تاون جبل علي","المشروع عبارة عن B+G+2P+17+R  بناية سكنية مع محلات تجارية في الطابق الأرضي  يقع في منطقة جبل علي الصناعية الثانية  المشروع مصمم من هيكل خرساني وطابوق مع تشطيباته الداخلية والخارجية  "
"سلطة دبي للتطوير","FINISHED","الخليج التجاري (ش.ذ.م.م)","898","عادي","مباني","526","المحكمة","2021-03-31","مصرف ابوظبى الاسلامى","1","488","منجز","905","905","2008-07-15","1","0","Business Bay","271","0","1","Business Bay","1461597165","null","2","100","898","4","الخليج التجارى","488","Commercial+Residential tower in Business Bay area with 5B + G + 3P + 30 + ROOFو TYPICAL Floors project proposed to be concrete structure with internal and external finishes and offices are shell & core type. 23rd to 30th floors are residential floors.","الخليج التجاري (ش.ذ.م.م)","Dubai Development Authority (DDA)","2021-03-31","الخليج التجاري","مشروع برج سكني و تجاري يقع في منطقة الخليج التجاري  البرج مصمم من 5 سرداب + طابق ارضي+ 3 طوابق قاعدة البرج (بوديوم) + 30 طابق +سطح علوي.المشروع مصمم من هيكل   خرساني مع انهاءاته الخارجية و الداخلية.الطوابق من الثالث والعشرين حتى الثلاثين عبارة عن طوابق سكنية, وحدات المكاتب سوف تسلم بدون انهاء اعمال التشطيبات الداخلية والتي يتم تجهيزها لاحقا من قبل ملاك الوحدات"
"سلطة دبي للتطوير","FINISHED","تيكوم للإستثمارات منطقة حرة- ذ.م.م","856","عادي","مباني","414","مونتروز","2018-04-08","البنك العربي المتحد","2","12919951","منجز","15","15","2014-07-01","1","0","Dubai Science Park","302","0","1","Al Barshaa South Second","732993417","null","2","100","856","33602168","البرشاء جنوب الثانية","1537","Two Residential Buildings 3B+G+19TF located at land number 92 and 90 respectively area Al Barshaa South Second, made up of concrete structure with internal and external finishes.","تيكوم للإستثمارات منطقة حرة- ذ.م.م","Dubai Development Authority (DDA)","2018-04-08","حديقة دبي للعلوم","مبنيان   سكنيان  ( 3سرداب+طابق ارضي+19 طابق) مقامان على ارض  رقم 92, مقام على ارض رقم 90 بمنطقة البرشا جنوب الثانية وكل المباني تتكون من طوابق متكررة ومبنية من هيكل خرساني مع تشطيباته الداخلية والخارجية"
"تراخيص","FINISHED","قرية جميرا (ش.ذ.م.م)","102","عادي","مجمع فلل","441","مروى هومز ","2015-07-29","بنك الإمارات دبي الوطني (ش.م.ع)","0","14169577","منجز","1026","14150260","2013-11-01","1","0","Jumeirah Village Circle","0","14","3","Al Barsha South Fourth","929884220","null","4","100","102","7","البرشاء جنوب الرابعة","1562","project on plot no.1056(681-1218) consist of  (G+2) 14 Town Houses at Al Barsha South Fourth ","قرية جميرا (ش.ذ.م.م)","Trakhees","2015-07-29","قرية جميرا الدائرية","مشروع مكون من 14 فيلا متلاصقة (طابق ارضي + طابقين) في منطقة البرشاء الرابعة جنوب"
"تراخيص","PENDING","النخلة  - ديره (ش.ذ.م.م)","1625","عادي","مباني","432","واترسايد 241","2028-02-28","Procedure Participant Ar","0","815324395","قيد التسجيل","2390","772843715","2026-01-15","1","0","Palm Deira","0","0","1","Palm Deira","137303420","null","4","0","507602935","11420066","نخلة ديرة","4093","G+2P+8+Roof","النخلة  - ديره (ش.ذ.م.م)","Trakhees","null","نخلة ديرة","G+2P+8+Roof"
"تراخيص","FINISHED","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","امباير ريزدنس","2022-09-30","بنك المشرق (شركة مساهمة عامة)","1","98332930","منجز","1197","91139685","2016-11-20","1","0","Jumeirah Village Circle","151","0","1","Al Barsha South Fourth","550904394","null","4","100","102","33","البرشاء جنوب الرابعة","1920","PROJECT CONSISTS OF G+4P+15+R RESIDENTIAL APARTMENTS LOCATED IN AL BARSHA SOUTH FOURTH. THE APARTMENTS ARE DESIGNED TO HAVE A CONCRETE STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES.    ","قرية جميرا (ش.ذ.م.م)","Trakhees","2022-09-30","قرية جميرا الدائرية"," .(G+4P+15+R) المشروع يتكون من شقق سكنية في منطقة البرشا جنوب الرابعة      التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخليةوخارجية    "
"سلطة دبي للتطوير","NOT_STARTED","دبي لاند ريزيدنسز (ش.ذ.م.م)","899","عادي","مباني","467","روف كمفورت ","2027-12-31","بنك الإمارات دبي الوطني (ش.م.ع)","2","735554619","تحت الانشاء","1809","572239178","2025-04-01","1","0","Dubai Land Residence Complex","316","0","1","Wadi Al Safa 5","1394019934","null","2","0","899","7","وادي الصفا 5","3629","G + P + 10 Floors + Roof","دبي لاند ريزيدنسز (ش.ذ.م.م)","Dubai Development Authority (DDA)","null","مجمع دبي لاند السكني","ارضي+بوديوم+10 طوابق+سطح"
"تراخيص","FINISHED","قرية جميرا (ش.ذ.م.م)","102","عادي","مجمع فلل","441","إطلالات على الماس 4 - الفيلات أ","2010-11-01","","0","1431","منجز","6","6","2008-11-21","1","0","Jumeirah Village Circle","0","13","3","Al Barsha South Fourth","1871908844","null","4","100","102","null","البرشاء جنوب الرابعة","1431","","قرية جميرا (ش.ذ.م.م)","Trakhees","2012-01-11","قرية جميرا الدائرية",""
"تراخيص","ACTIVE","شركة النخلة - جميرا (ش.ذ.م.م)","103","عادي","مباني","410","لوتشه","2025-12-31","بنك أبوظبي الأول ش.م.ع.","1","478858672","فعال","1549","476598954","2023-07-01","1","0","Palm Jumeirah","38","0","1","Palm Jumeirah","2049809830","null","4","48","103","19","نخلة جميرا","2572","Residential Building 2B+G+9 , The project designed to have a concrete structure and block with internal and external finishes.","شركة النخلة - جميرا (ش.ذ.م.م)","Trakhees","2025-12-31","نخلة جميرا","N/A"
"سلطة دبي للتطوير","FINISHED","شركة الخط الامامي لادارة الاستثمار ش.ذ.م.م","1021","عادي","فلل","505","داماك هيلز ( 2 ) - أستر","2022-03-21","مصرف ابوظبى الاسلامى","0","14229489","منجز","1021","13743506","2015-02-01","1","377","DAMAC HILLS 2","0","0","2","Madinat Hind 4","1842052719","null","2","100","13743506","4","مدينة هند 4","1577","Project consists of total G+1 & G+2 x378 freehold villas located in Dubailand. The villas are designed to have a concrete structure and block with internal and external finishes.","شركة الخط الامامي لادارة الاستثمار ش.ذ.م.م","Dubai Development Authority (DDA)","2021-10-30","داماك هيليز 2","المشروع مكون من 378 فيلا للتملك الحر بمنطقة دبي لاند . التصميم مكون من خرسانة   مسلحة و قواطع طوب مع التشطيبات الداخلية و الخارجية  G+1 & G+2 "
"دبي للجنوب","ACTIVE","إعمار دبي الجنوب دي دبليو سي ش.ذ.م.م","1155","عادي","فلل","462","فيرواي فيلاز","2025-09-30","بنك دبي الاسلامي (شركة مساهمة عامة)","0","459645904","فعال","1155","33891624","2023-05-05","1","48","Dubai World Central","0","0","2","Madinat Al Mataar","816464830","null","5","85","33891624","1","مدينة المطار","2519","49 Villas (G + 1), Residential, the project designed to have a concrete structure and block with internal and external finishes.","إعمار دبي الجنوب دي دبليو سي ش.ذ.م.م","Dubai South","2025-09-30","دبي ورلد سنترال","N/A"
"تراخيص","FINISHED","شركة النخلة - جميرا (ش.ذ.م.م)","103","عادي","مباني","410","مورابا ريزيدنس نخلة جميرا","2016-03-31","بنك دبي الاسلامي (شركة مساهمة عامة)","1","14289957","منجز","1032","14244546","2014-10-01","1","0","Palm Jumeirah","50","0","1","Palm Jumeirah","479206440","null","4","100","103","1","نخلة جميرا","1582","Residential Building (B+G+9+R), Located in Palm Jumeirah","شركة النخلة - جميرا (ش.ذ.م.م)","Trakhees","2016-03-31","نخلة جميرا","مبنى سكني مكون من سرداب + ارضي + 9 طوابق + سقف في نخلة جميرا"
"بلدية دبي","ACTIVE","شوبا ش.ذ.م.م","966","عادي","مباني","405","سكاي سكيب","2029-12-31","بنك دبي الاسلامي (شركة مساهمة عامة)","4","628042026","فعال","966","10097270","2024-08-15","1","0","","1902","0","1","Bukadra","2744329","null","1","12","10097270","1","بوكدرة","3160","Proposed Ground + 4 Podiums + 50 Floors + 1 Service floor +Roof ,Commercial (Retail) and  Residential Development","شوبا ش.ذ.م.م","Dubai Municipality","2029-12-31","","مقترح تطوير تجاري سكني ارضي + 4 بوديوم +50 طابق+1 طابق الخدمة  + سطح "
"سلطة دبي للتطوير","NOT_STARTED","دبي لاند (ش.ذ.م.م)","854","عادي","مباني","467","رايز من أثلون 3","2030-01-30","بنك أبوظبي الأول ش.م.ع.","2","803278587","تحت الانشاء","1657","520951712","2026-01-15","1","0","","120","0","1","Wadi Al Safa 5","2127545763","null","2","0","854","25","وادي الصفا 5","4046","Rise by Athlon 3 , Grid & Tempo is a residential which consists of:  Grid Building  G+1P+4   Tempo Building  G+1P+4   Total residential units: 120","دبي لاند (ش.ذ.م.م)","Dubai Development Authority (DDA)","null","","رايز من أثلون 3، أزول، تيل، ماجنتا هو مشروع سكني يتكون من  مبنى جريد - أرضي + طابق+ 4 طابق  مبنى جريد - أرضي + طابق+ 4 طابق   مبنى تيمبو ? أرضي + طابق+ 4 طابق  ? إجمالي الوحدات السكن?ة: 120 وحدة"
"سلطة دبي للتطوير","FINISHED","دبي للعقارات (ش.ذ.م.م)","850","عادي","مباني","334"," ناستاران تاور","2016-11-03","بنك دبي الاسلامي (شركة مساهمة عامة)","1","771","منجز","524","524","2008-04-07","1","0","Jaddaf Waterfront","181","0","1","Al Jadaf","1623911860","null","2","100","850","1","الجداف","771","Freehold mixed use building development located at Culture  Village, Al Jadaf.     The building is designed to be 5B+G+3P+4 floors offices+16 floors residential+2 PH + HC. The building is designed to be built out of concrete structure and block with internal and external finishes.","دبي للعقارات (ش.ذ.م.م)","Dubai Development Authority (DDA)","2011-10-01","جداف الواجهة المائية","مشروع مبنى متعدد الأستخدام للتملك الحر يقع في القرية الثقافية في منطقة الجداف.     البناية تتكون من 5 طوابق سرداب , أرضي + 3 بوديوم + 4 طوابق مكتبية و 16 طابق سكني + 2 بينتهاوس + نادي صحي    المبنى عبارة عن هيكل خرساني مع انهاءاته الخارجية و الداخلية ."
"سلطة دبي للتطوير","FINISHED","مدينة دبي الرياضية (ش. ذ. م. م)","200","عادي","مباني","435","شامبيونز تاور 1","2017-01-18","بنك دبي التجاري (ش.م.ع)","1","763","منجز","519","519","2007-09-09","1","0","Dubai Sports City","135","0","1","Al Hebiah Fourth","1192205396","null","2","100","200","10","الحبيه الرابعة","763","Freehold residential building located in Dubai Sports City, the building is designed to have B+G+14+R floors. The building is being constructed as a concrete structure with internal and external finishes.","مدينة دبي الرياضية (ش. ذ. م. م)","Dubai Development Authority (DDA)","2014-05-30","مدينة دبي الرياضية","مشروع بناية سكنية للتملك الحر تقع في منطقة مدينة دبي الرياضية. البناية عبارة عن سرداب+طابق ارضي+ 14 + سطح بهيكل خرساني مع انهاءاته الخارجية و الداخلية "
"بلدية دبي","ACTIVE","اعمار العقارية (ش . م. ع)","555","عادي","فلل","486","ذا أويسيس - بالميرا 3","2028-10-31","بنك دبي الاسلامي (شركة مساهمة عامة)","0","644076888","فعال","555","555","2024-08-22","1","58","","0","0","2","Me'Aisem Second","371069957","null","1","26","555","1","معيصم الثانية","3221","Residential development consisting of 59 villas (G+2).The project designed to have a concrete structure and block with internal and external finishes.  ","اعمار العقارية (ش . م. ع)","Dubai Municipality","null","","N/A  "
"تراخيص","PENDING","شركة نخيل (ش.م.خ)","100","عادي","مباني","432","Floarea Breeze","2028-06-30","بنك المشرق (شركة مساهمة عامة)","1","807590058","قيد التسجيل","1542","472440838","2026-01-01","1","0","Palm Deira","52","0","1","Palm Deira","517895784","null","4","0","100","33","نخلة ديرة","4061","G+8+Roof","شركة نخيل (ش.م.خ)","Trakhees","null","نخلة ديرة","G+8+Roof"
"تراخيص","ACTIVE","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","442","ايلبروس تاور","2026-03-31","بنك ابوظبى التجارى","1","88015952","فعال","581","581","2023-06-01","1","0","Jumeirah Village Triangle","271","0","1","Al Barsha South Fifth","1663859720","null","4","40","102","5","البرشاء جنوب الخامسة","2637","2B+G+4P+28F+M+R Residential+Commercial.The project designed to have a concrete structure and block with internal and external finishes.  ","قرية جميرا (ش.ذ.م.م)","Trakhees","2026-03-31","قرية جميرا المثلثة","N/A"
