permit_renewal_date,approval_date,total_area,application_type_arabic,parcel_id,application_id,building_count,load_timestamp,permit_no,application_type_english,application_status_arabic,project_no,application_submission_date,permit_date,application_status_english,building_type
"null","2022-07-18","0","تقديم نهائي \ تعديلات أو أضافات","3470383","1511089","0","2026-01-26 19:00:00","373215-25-1","Final-Adjustment/Addition","الرخصة مسلمة","373215","2022-07-12","2022-07-18","Permit Delivered","Floor Area Ratio"
"null","2024-08-19","0","تقديم نهائي \ تعديلات أو أضافات","6189152","1707126","0","2026-01-26 19:00:00","281195-18-2","Final-Adjustment/Addition","الرخصة مسلمة","281195","2024-08-14","2024-08-19","Permit Delivered","Floor Area Ratio"
"null","null","273","تقديم نهائي \ مبنى جديد","3941348","443917","0","2026-01-26 19:00:00","5001-1-3","Final-New Building","معادة","5001","2010-12-20","null","RETURNED","Private Villa"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","4210520","680854","0","2026-01-26 19:00:00","222999-13-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","222999","2014-02-09","null","RETURNED","Floor Area Ratio"
"null","null","0","طلب تصريح اشغال مؤقت للأراضي","4210270","1369784","0","2026-01-26 19:00:00","340382-6-2","Temporary permit to Occupy Parcel","معادة","340382","2020-06-21","null","RETURNED","null"
"null","1995-12-17","0","تقديم نهائي \ تعديلات أو أضافات","3170234","42875","0","2026-01-26 19:00:00","40995-1-1","Final-Adjustment/Addition","الرخصة مسلمة","40995","1995-12-14","1995-12-30","Permit Delivered","null"
"null","2010-05-23","7","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2661250","399501","0","2026-01-26 19:00:00","180586-4-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","180586","2010-05-19","2010-05-24","Permit Delivered","Private Villa"
"null","null","300","تقديم نهائي \ تعديلات أو أضافات","6488639","827408","0","2026-01-26 19:00:00","272984-1-1","Final-Adjustment/Addition","معادة","272984","2015-10-20","null","RETURNED","Multi Storey"
"null","null","64","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2620670","327066","0","2026-01-26 19:00:00","170346-2-2","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","170346","2009-06-29","null","RETURNED","Private Villa"
"null","null","0","إستثناءات","2812690","492726","0","2026-01-26 19:00:00","203529-3-1","Request for Exceptions","معاملة معادة ملغاة","203529","2011-08-06","null","Returned Application Cancelled","Private Villa"
"null","null","0","ترخيص ديكور قبل صدور شهادة الانجاز","3240109","306469","0","2026-01-26 19:00:00","169562-2-1","Decor Permit before issuing Completion Certificate","معاملة معادة ملغاة","169562","2009-03-29","null","Returned Application Cancelled","Public Building"
"null","2022-08-09","0","إلغاء  معاملة ترخيص","3640687","1517281","0","2026-01-26 19:00:00","311095-3-1","Permit Application Cancellation","معتمدة","311095","2022-08-09","null","Approved","null"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3561124","1059680","0","2026-01-26 19:00:00","245941-5-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معاملة معادة ملغاة","245941","2017-04-20","null","Returned Application Cancelled","Investment Villa"
"null","null","635","تقديم نهائي \ مبنى جديد","4238197","1073182","0","2026-01-26 19:00:00","307714-2-1","Final-New Building","معادة","307714","2017-05-25","null","RETURNED","Private Villa"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","4168144","1328157","0","2026-01-26 19:00:00","281926-18-1","Final-Adjustment/Addition","معادة","281926","2019-10-21","null","RETURNED","Floor Area Ratio"
"null","null","279","تقديم نهائي \ مبنى جديد","6640497","523104","0","2026-01-26 19:00:00","210362-1-1","Final-New Building","معادة","210362","2012-01-30","null","RETURNED","Private Villa"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","2610957","338295","0","2026-01-26 19:00:00","176673-1-1","Adjustment and Addition Permit Simple (Owners)","معاملة معادة ملغاة","176673","2009-08-13","null","Returned Application Cancelled","Private Villa"
"null","1999-04-12","0","تقديم نهائي \ تعديلات أو أضافات","3762062","57188","0","2026-01-26 19:00:00","55308-1-1","Final-Adjustment/Addition","الرخصة مسلمة","55308","1999-03-24","1999-04-20","Permit Delivered","null"
"null","null","3660","تقديم أولي \ مبنى جديد","3660491","838068","0","2026-01-26 19:00:00","270459-1-1","Preliminary-New Building","معادة","270459","2015-08-31","null","RETURNED","Public Building"
"null","null","0","إستثناءات","3190141","766717","0","2026-01-26 19:00:00","257532-1-1","Request for Exceptions","معاملة معادة ملغاة","257532","2015-01-15","null","Returned Application Cancelled","Public Building"
"null","null","49520","تقديم أولي \ مبنى جديد","3260588","1050235","0","2026-01-26 19:00:00","304923-1-1","Preliminary-New Building","معادة","304923","2017-03-29","null","RETURNED","Floor Area Ratio"
"null","null","0","ترخيص اعمال ديكور عادى","1130583","841371","1","2026-01-26 19:00:00","270114-2-3","Normal Decor Permit","معادة","270114","2015-09-09","null","RETURNED","Multi Storey"
"null","2014-08-11","0","الحصول على المنسوب المرجعي لمدخل المبنى","5971207","724737","0","2026-01-26 19:00:00","249161-2-1","Obtain the Gate Level of a Building Entrance","معتمدة","249161","2014-08-11","null","Approved","null"
"null","2018-11-26","0","تقديم نهائي \ تعديلات أو أضافات","3120375","1254823","0","2026-01-26 19:00:00","264495-18-1","Final-Adjustment/Addition","الرخصة مسلمة","264495","2018-11-15","2018-11-28","Permit Delivered","Multi Storey"
"null","2014-06-28","0","الحصول على المنسوب المرجعي لمدخل المبنى","6173943","714537","0","2026-01-26 19:00:00","247177-1-2","Obtain the Gate Level of a Building Entrance","معتمدة","247177","2014-06-23","null","Approved","null"
"null","2020-11-18","0","إلغاء  معاملة ترخيص","3331014","1397801","0","2026-01-26 19:00:00","356477-6-1","Permit Application Cancellation","معتمدة","356477","2020-11-18","null","Approved","null"
"null","null","0","إستثناءات","5981105","1261144","0","2026-01-26 19:00:00","307944-6-1","Request for Exceptions","معادة","307944","2018-12-13","null","RETURNED","Industrial Building"
"null","2015-07-14","0","طلب مخططات البناء","5970396","823470","0","2026-01-26 19:00:00","268078-1-1","Apply for Buildings Drawings","معتمدة","268078","2015-07-14","null","Approved","null"
"null","2002-07-02","0","تقديم نهائي \ مبنى جديد","2460376","73135","0","2026-01-26 19:00:00","71255-1-1","Final-New Building","الرخصة مسلمة","71255","2002-04-07","2002-07-03","Permit Delivered","Public Building"
"null","2011-11-01","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3561026","508018","0","2026-01-26 19:00:00","202642-8-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","202642","2011-11-01","2011-11-01","Permit Delivered","Private Villa"
"null","2020-12-10","0","تقديم نهائي \ تعديلات أو أضافات","3150128","1399732","0","2026-01-26 19:00:00","338937-18-1","Final-Adjustment/Addition","الرخصة مسلمة","338937","2020-12-09","2020-12-12","Permit Delivered","Floor Area Ratio"
"null","null","1211","تقديم نهائي \ مبنى جديد","9256400","1776545","0","2026-01-26 19:00:00","440285-4-2","Final-New Building","معادة","440285","2025-03-13","null","RETURNED","Private Villa"
"null","2012-02-13","0","تقديم نهائي \ تعديلات أو أضافات","2814931","523619","0","2026-01-26 19:00:00","198369-3-1","Final-Adjustment/Addition","الرخصة مسلمة","198369","2012-02-02","2012-02-21","Permit Delivered","Private Villa"
"null","null","1014","تقديم أولي \ مبنى جديد","3660328","207295","0","2026-01-26 19:00:00","145935-1-1","Preliminary-New Building","معادة","145935","2007-10-17","null","RETURNED","Investment Villa"
"null","null","4","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3560298","1463894","0","2026-01-26 19:00:00","366605-9-2","Adjustment and Addition Permit Simple (Owners)","معادة","366605","2021-11-11","null","RETURNED","Investment Villa"
"null","null","0","إستثناءات","1260143","1313727","0","2026-01-26 19:00:00","337078-5-1","Request for Exceptions","معادة","337078","2019-08-06","null","RETURNED","Private Villa"
"null","2017-11-06","0","إلغاء رخصة (قبل بدء العمل)","3762281","1133744","0","2026-01-26 19:00:00","193589-2-1","Permit Cancellation (before start of work)","معتمدة","193589","2017-11-02","null","Approved","null"
"null","2022-08-09","0","إعتماد نظام بناء جديد","8880108","1512751","0","2026-01-26 19:00:00","386318-1-1","New Building System Approval","تم اصدار رسالة الإعتماد الأولي","386318","2022-08-08","2022-08-09","Initial Approval Letter Issued","null"
"null","2008-01-02","0","رخصة هدم مبنى","2640478","218606","0","2026-01-26 19:00:00","148670-1-1","Building Demolition Permit","الرخصة مسلمة","148670","2008-01-02","2008-01-02","Permit Delivered","Public Building"
"null","2018-06-07","0","تقديم نهائي \ تعديلات أو أضافات","6187986","1206945","0","2026-01-26 19:00:00","286942-20-1","Final-Adjustment/Addition","الرخصة مسلمة","286942","2018-05-30","2018-06-10","Permit Delivered","Floor Area Ratio"
"null","null","126","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","1330329","1445481","0","2026-01-26 19:00:00","371295-1-1","Adjustment and Addition Permit Simple (Owners)","معادة","371295","2021-08-02","null","RETURNED","Private Villa"
"null","2021-12-23","0","تقديم نهائي \ تعديلات أو أضافات","6173970","1470440","0","2026-01-26 19:00:00","302873-9-1","Final-Adjustment/Addition","الرخصة مسلمة","302873","2021-12-16","2022-01-13","Permit Delivered","Private Villa"
"null","2023-02-07","1459","تقديم نهائي \ مبنى جديد","2487116","1549371","1","2026-01-26 19:00:00","390195-2-4","Final-New Building","الرخصة مسلمة","390195","2023-01-02","2023-05-16","Permit Delivered","Public Building"
"null","null","0","ترخيص اعمال ديكور عادى","3342772","288684","0","2026-01-26 19:00:00","165789-1-2","Normal Decor Permit","معادة","165789","2009-01-11","null","RETURNED","Public Building"
"null","2021-07-25","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","2140545","1442131","0","2026-01-26 19:00:00","368946-4-1","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","368946","2021-07-11","2021-07-25","Permit Delivered","Multi Storey"
"null","2017-11-13","0","تصريح حجز الارصفه واستغلالها","3570387","1137207","0","2026-01-26 19:00:00","271361-9-1","Walkside Booking Permit","الرخصة مسلمة","271361","2017-11-12","2017-11-13","Permit Delivered","null"
"null","2018-05-13","126","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3640174","1193113","1","2026-01-26 19:00:00","327606-1-3","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","327606","2018-04-30","2018-05-15","Permit Delivered","Industrial Building"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","2820208","838795","0","2026-01-26 19:00:00","236655-7-3","Final-Adjustment/Addition","معادة","236655","2015-09-02","null","RETURNED","Multi Storey"
"null","null","217","تقديم نهائي \ مبنى جديد","6713384","337155","0","2026-01-26 19:00:00","163061-4-1","Final-New Building","معادة","163061","2009-08-10","null","RETURNED","Private Villa"
"null","2015-11-22","0","طلب مخططات البناء","1180885","866032","0","2026-01-26 19:00:00","275062-1-1","Apply for Buildings Drawings","معتمدة","275062","2015-11-20","null","Approved","null"
"null","2025-11-07","0","تقديم نهائي \ تعديلات أو أضافات","3420408","1857217","0","2026-01-26 19:00:00","402005-12-1","Final-Adjustment/Addition","الرخصة مسلمة","402005","2025-11-06","2025-11-07","Permit Delivered","Investment Villa"
"null","2003-08-20","0","تقديم نهائي \ تعديلات أو أضافات","2330680","70656","0","2026-01-26 19:00:00","68776-1-1","Final-Adjustment/Addition","الرخصة مسلمة","68776","2003-08-13","2003-08-20","Permit Delivered","null"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3170983","916255","0","2026-01-26 19:00:00","276447-2-1","Adjustment and Addition Permit Simple (Owners)","معاملة معادة ملغاة","276447","2016-04-09","null","Returned Application Cancelled","Public Building"
"null","2024-01-19","0","طلب تصريح اشغال مؤقت للأراضي","6187543","1651096","0","2026-01-26 19:00:00","404782-2-1","Temporary permit to Occupy Parcel","الرخصة مسلمة","404782","2024-01-19","2024-01-22","Permit Delivered","null"
"null","2011-09-18","0","تمديد فترة بقاء المخططات المعتمده  خدمات من خلال استشاري","4165579","499704","0","2026-01-26 19:00:00","174206-5-1","Extending Approval Validity","معتمدة","174206","2011-09-18","null","Approved","null"
"null","null","689","تقديم أولي \ مبنى جديد","9871051","1781297","0","2026-01-26 19:00:00","441541-2-2","Preliminary-New Building","معادة","441541","2025-03-26","null","RETURNED","Industrial Building"
"null","2015-10-01","0","تصريح حجز الارصفه واستغلالها","3680277","847863","0","2026-01-26 19:00:00","271069-3-1","Walkside Booking Permit","الرخصة مسلمة","271069","2015-09-30","2015-10-01","Permit Delivered","null"
"null","2010-07-03","320","تقديم نهائي \ مبنى جديد","6717130","401505","1","2026-01-26 19:00:00","188364-1-1","Final-New Building","الرخصة مسلمة","188364","2010-06-28","2010-07-22","Permit Delivered","Private Villa"
"null","2009-09-28","0","الحصول على المنسوب المرجعي لمدخل المبنى","6173268","346035","0","2026-01-26 19:00:00","178272-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","178272","2009-09-28","null","Approved","null"
"null","2024-07-29","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6130173","1700019","0","2026-01-26 19:00:00","386992-10-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","386992","2024-07-23","2024-10-10","Permit Delivered","Public Building"
"null","2019-07-15","0","تصريح حجز الارصفه واستغلالها","2326177","1309008","0","2026-01-26 19:00:00","337812-2-1","Walkside Booking Permit","الرخصة مسلمة","337812","2019-07-14","2019-07-15","Permit Delivered","null"
"null","2019-02-19","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2645005","1277062","0","2026-01-26 19:00:00","337029-6-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","337029","2019-02-17","2019-02-20","Permit Delivered","Public Building"
"null","2012-09-04","0","طلب مخططات البناء","3730108","565479","0","2026-01-26 19:00:00","217985-1-1","Apply for Buildings Drawings","معتمدة","217985","2012-09-02","null","Approved","null"
"null","2022-11-10","0","طلب مخططات البناء","3881452","1538629","0","2026-01-26 19:00:00","392325-1-1","Apply for Buildings Drawings","معتمدة","392325","2022-11-10","null","Approved","null"
"null","null","683","تقديم نهائي \ مبنى جديد","7112084","820097","0","2026-01-26 19:00:00","263307-2-2","Final-New Building","معادة","263307","2015-07-05","null","RETURNED","Private Villa"
"null","2020-02-27","0","ترخيص اعمال  صبغ مبنى","3530147","1351980","0","2026-01-26 19:00:00","353386-1-1","Painting Permit By Owner","الرخصة مسلمة","353386","2020-02-25","2020-02-27","Permit Delivered","Investment Villa"
"null","null","0","إستثناءات","1270955","1796731","0","2026-01-26 19:00:00","446333-3-2","Request for Exceptions","معادة","446333","2025-05-14","null","RETURNED","Multi Storey"
"null","2014-02-10","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3730243","678359","0","2026-01-26 19:00:00","198975-17-2","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","198975","2014-01-29","2014-02-10","Permit Delivered","Investment Villa"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3760495","1662941","0","2026-01-26 19:00:00","415193-6-1","Final-Adjustment/Addition","معادة","415193","2024-02-29","null","RETURNED","Private Villa"
"null","1997-02-15","0","تقديم نهائي \ مبنى جديد","2620772","52135","1","2026-01-26 19:00:00","50255-1-1","Final-New Building","الرخصة مسلمة","50255","1996-12-25","1997-07-27","Permit Delivered","Private Villa"
"null","2024-04-26","0","تقديم نهائي \ تعديلات أو أضافات","2653836","1673357","1","2026-01-26 19:00:00","424876-2-1","Final-Adjustment/Addition","الرخصة مسلمة","424876","2024-04-18","2025-01-13","Permit Delivered","Private Villa"
"null","2015-08-12","0","طلب مخططات البناء","1270857","832149","0","2026-01-26 19:00:00","269461-1-1","Apply for Buildings Drawings","معتمدة","269461","2015-08-12","null","Approved","null"
"null","null","16129","تقديم أولي \ مبنى جديد","1271660","814341","0","2026-01-26 19:00:00","182644-19-3","Preliminary-New Building","معادة","182644","2015-06-15","null","RETURNED","Multi Storey"
"null","2023-05-09","0","طلب تصريح اشغال مؤقت للأراضي","7115344","1580850","0","2026-01-26 19:00:00","401318-1-1","Temporary permit to Occupy Parcel","الرخصة مسلمة","401318","2023-05-08","2023-05-09","Permit Delivered","null"
"null","null","0","طلب تصريح اشغال مؤقت للأراضي","2140279","452481","0","2026-01-26 19:00:00","191058-2-1","Temporary permit to Occupy Parcel","معاملة معادة ملغاة","191058","2011-01-19","null","Returned Application Cancelled","null"
"null","2008-11-26","0","ترخيص اعمال ديكور عادى","3150124","277414","0","2026-01-26 19:00:00","163289-1-1","Normal Decor Permit","الرخصة مسلمة","163289","2008-11-11","2008-11-27","Permit Delivered","Multi Storey"
"null","2010-07-15","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2621368","412768","0","2026-01-26 19:00:00","167110-5-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","167110","2010-07-13","2010-07-20","Permit Delivered","Private Villa"
"null","2015-07-01","615","تقديم نهائي \ مبنى جديد","6153012","812475","1","2026-01-26 19:00:00","261894-3-1","Final-New Building","الرخصة مسلمة","261894","2015-06-15","2015-09-03","Permit Delivered","Private Villa"
"null","2001-05-20","0","تقديم نهائي \ تعديلات أو أضافات","3340460","90942","0","2026-01-26 19:00:00","89062-1-1","Final-Adjustment/Addition","الرخصة مسلمة","89062","2001-05-19","2001-05-21","Permit Delivered","null"
"null","2019-04-18","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","5920154","1291825","0","2026-01-26 19:00:00","310359-23-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","310359","2019-04-17","2019-04-30","Permit Delivered","Public Building"
"null","2000-09-18","0","تقديم نهائي \ تعديلات أو أضافات","1240959","63103","0","2026-01-26 19:00:00","61223-1-1","Final-Adjustment/Addition","الرخصة مسلمة","61223","2000-08-16","2000-11-26","Permit Delivered","null"
"null","2017-06-08","506","تقديم نهائي \ تعديلات أو أضافات","2826256","1075032","0","2026-01-26 19:00:00","294962-3-1","Final-Adjustment/Addition","الرخصة مسلمة","294962","2017-05-30","2017-06-12","Permit Delivered","Private Villa"
"null","null","2641","تقديم نهائي \ مبنى جديد","5131372","912440","0","2026-01-26 19:00:00","277730-6-1","Final-New Building","معادة","277730","2016-04-02","null","RETURNED","Floor Area Ratio"
"null","null","33","تقديم نهائي \ تعديلات أو أضافات","1330115","1499007","0","2026-01-26 19:00:00","383116-1-1","Final-Adjustment/Addition","معادة","383116","2022-05-19","null","RETURNED","Multi Storey"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3466856","901613","0","2026-01-26 19:00:00","262944-15-1","Final-Adjustment/Addition","معادة","262944","2016-03-08","null","RETURNED","Public Building"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","1260739","312445","0","2026-01-26 19:00:00","134664-5-2","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","134664","2009-04-29","null","RETURNED","Private Villa"
"null","2017-10-12","0","تقديم نهائي \ تعديلات أو أضافات","3582882","1122923","0","2026-01-26 19:00:00","256411-22-2","Final-Adjustment/Addition","الرخصة مسلمة","256411","2017-10-08","2017-10-12","Permit Delivered","Multi Storey"
"null","2013-09-19","0","تقديم نهائي \ تعديلات أو أضافات","3522673","649537","0","2026-01-26 19:00:00","127686-24-1","Final-Adjustment/Addition","الرخصة مسلمة","127686","2013-09-15","2013-09-23","Permit Delivered","Public Building"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","5992144","611439","0","2026-01-26 19:00:00","220200-2-1","Final-Adjustment/Addition","معادة","220200","2013-04-11","null","RETURNED","Industrial Building"
"null","null","0","ترخيص اعمال ديكور عادى","5970268","704267","0","2026-01-26 19:00:00","243847-1-3","Normal Decor Permit","معادة","243847","2014-05-15","null","RETURNED","Industrial Building"
"null","2021-05-12","0","طلب مخططات البناء","2640392","1431016","0","2026-01-26 19:00:00","368189-1-2","Apply for Buildings Drawings","معتمدة","368189","2021-05-11","null","Approved","null"
"null","2015-04-22","0","تقديم نهائي \ تعديلات أو أضافات","3265622","792073","0","2026-01-26 19:00:00","224390-17-1","Final-Adjustment/Addition","الرخصة مسلمة","224390","2015-04-09","2015-04-29","Permit Delivered","Floor Area Ratio"
"null","2020-02-02","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3320889","1347058","0","2026-01-26 19:00:00","325387-17-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","325387","2020-01-29","2020-02-05","Permit Delivered","Investment Villa"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","1180778","433538","0","2026-01-26 19:00:00","191370-4-2","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","191370","2010-10-21","null","RETURNED","Multi Storey"
"null","2015-10-12","0","الحصول على المنسوب المرجعي لمدخل المبنى","3622787","851757","0","2026-01-26 19:00:00","272719-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","272719","2015-10-12","null","Approved","null"
"null","2014-06-03","30","تقديم نهائي \ تعديلات أو أضافات","6150567","706330","0","2026-01-26 19:00:00","204362-10-1","Final-Adjustment/Addition","الرخصة مسلمة","204362","2014-05-22","2014-06-04","Permit Delivered","Private Villa"
"null","2016-06-08","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","6172878","938066","0","2026-01-26 19:00:00","264817-4-1","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","264817","2016-06-02","2016-07-18","Permit Delivered","Private Villa"
"null","2014-07-06","0","إستثناءات","3350147","714862","0","2026-01-26 19:00:00","247200-1-2","Request for Exceptions","معتمدة","247200","2014-06-24","null","Approved","Multi Storey"
"null","null","70","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","2470196","950295","0","2026-01-26 19:00:00","286891-1-3","Adjustment and Addition Permit Simple (Owners)","معادة","286891","2016-07-13","null","RETURNED","Industrial Building"
"null","2022-06-06","0","طلب مخططات البناء","4221202","1502866","0","2026-01-26 19:00:00","359195-3-1","Apply for Buildings Drawings","معتمدة","359195","2022-06-06","null","Approved","null"
"null","null","320","تقديم أولي \ تعديلات أو أضافات","3522178","1082435","0","2026-01-26 19:00:00","310436-1-1","Preliminary-Adjustment/Addition","معاملة معادة ملغاة","310436","2017-06-19","null","Returned Application Cancelled","Private Villa"
"null","2023-08-29","0","إستثناءات","3470919","1608423","0","2026-01-26 19:00:00","397138-12-1","Request for Exceptions","معتمدة","397138","2023-08-21","null","Approved","Floor Area Ratio"
"null","2014-08-24","0","ترخيص اعمال ديكور عادى","3920296","727959","0","2026-01-26 19:00:00","242459-2-1","Normal Decor Permit","الرخصة مسلمة","242459","2014-08-21","2014-08-24","Permit Delivered","Multi Storey"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","2511911","184498","1","2026-01-26 19:00:00","1324-2-1","Final-Adjustment/Addition","معاملة معادة ملغاة","1324","2007-06-10","null","Returned Application Cancelled","Private Villa"
"null","null","2347","تقديم نهائي \ مبنى جديد","6314236","825383","0","2026-01-26 19:00:00","266107-1-2","Final-New Building","معادة","266107","2015-08-09","null","RETURNED","Investment Villa"
"null","2022-11-10","0","تقديم نهائي \ تعديلات أو أضافات","3331389","1538020","0","2026-01-26 19:00:00","292055-22-1","Final-Adjustment/Addition","الرخصة مسلمة","292055","2022-11-08","2022-11-10","Permit Delivered","Public Building"
"null","2010-01-11","0","ترخيص اعمال ديكور عادى","3731273","368943","0","2026-01-26 19:00:00","181761-1-3","Normal Decor Permit","الرخصة مسلمة","181761","2010-01-11","2010-01-12","Permit Delivered","Multi Storey"
"null","2023-05-21","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6456151","1583320","0","2026-01-26 19:00:00","305530-10-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","305530","2023-05-17","2023-05-31","Permit Delivered","Investment Villa"
"null","2025-11-23","0","تقديم نهائي \ تعديلات أو أضافات","3935816","1860152","0","2026-01-26 19:00:00","395410-23-1","Final-Adjustment/Addition","الرخصة مسلمة","395410","2025-11-14","2025-11-25","Permit Delivered","Floor Area Ratio"
"null","2019-06-09","0","تقديم نهائي \ تعديلات أو أضافات","3761269","1300976","0","2026-01-26 19:00:00","253147-9-2","Final-Adjustment/Addition","الرخصة مسلمة","253147","2019-06-02","2019-06-11","Permit Delivered","Private Villa"
"null","null","0","الحصول على المنسوب المرجعي لمدخل المبنى","2814912","389121","0","2026-01-26 19:00:00","183719-3-1","Obtain the Gate Level of a Building Entrance","معاملة معادة ملغاة","183719","2010-04-04","null","Returned Application Cancelled","null"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","9610864","1418070","0","2026-01-26 19:00:00","365157-3-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معاملة معادة ملغاة","365157","2021-03-03","null","Returned Application Cancelled","Public Building"
"null","null","0","إلغاء  معاملة ترخيص","4166524","1065423","0","2026-01-26 19:00:00","270336-23-1","Permit Application Cancellation","معاملة معادة ملغاة","270336","2017-05-07","null","Returned Application Cancelled","null"
"null","2025-06-24","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","71116086","1809381","0","2026-01-26 19:00:00","428984-3-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","428984","2025-06-23","2025-06-24","Permit Delivered","Private Villa"
"null","2009-07-26","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","5910295","333667","0","2026-01-26 19:00:00","140549-16-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","140549","2009-07-26","2009-08-18","Permit Delivered","Public Building"
"null","2015-11-22","0","إستثناءات","6766363","854067","0","2026-01-26 19:00:00","241193-4-1","Request for Exceptions","معتمدة","241193","2015-10-26","null","Approved","Investment Villa"
"null","2018-08-07","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3680479","1226939","0","2026-01-26 19:00:00","329671-2-2","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","329671","2018-08-06","2018-08-07","Permit Delivered","Industrial Building"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6261502","1782832","0","2026-01-26 19:00:00","447045-3-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","447045","2025-04-03","null","RETURNED","Public Building"
"null","1999-12-19","0","تقديم نهائي \ تعديلات أو أضافات","3190262","87795","0","2026-01-26 19:00:00","85915-1-1","Final-Adjustment/Addition","الرخصة مسلمة","85915","1999-12-14","1999-12-21","Permit Delivered","null"
"null","null","0","طلب تصريح اشغال مؤقت للأراضي","6220137","1073224","0","2026-01-26 19:00:00","292424-2-1","Temporary permit to Occupy Parcel","معاملة معادة ملغاة","292424","2017-05-24","null","Returned Application Cancelled","null"
"null","2023-12-07","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3944413","1637881","0","2026-01-26 19:00:00","413621-3-1","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","413621","2023-12-05","2024-01-09","Permit Delivered","Private Villa"
"null","2012-09-17","0","طلب مخططات البناء","3180703","567964","0","2026-01-26 19:00:00","218523-1-1","Apply for Buildings Drawings","معتمدة","218523","2012-09-17","null","Approved","null"
"null","2018-05-23","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2810317","1202225","0","2026-01-26 19:00:00","319230-3-2","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","319230","2018-05-16","2018-05-26","Permit Delivered","Private Villa"
